EXT	PDF	PMF_APP	SP	PMF_RE
9.5	3.3333333e-06	7.518092134337175271	1.0	7.518095452971390623
9.6	3.3333333e-06	7.518092134337175271	0.9999999999999860989	7.4094026831059176348
9.7	1e-05	6.8631784643233130906	0.99999999999997683174	7.079516517365390918
9.8	1.3333333e-05	6.6916831099365465993	0.9999999999999727771	6.666327525672164251
9.9	2.6666667e-05	6.2784785709104672436	0.99999999999997017067	6.398095087044946403
10.0	3e-05	6.2082648002707320903	0.99999999999996852957	6.159760556461523416
10.1	5.3333333e-05	5.865274065416594033	0.9999999999999673229	5.9511847840461202254
10.2	6.3333333e-05	5.7628292964663418835	0.99999999999996652266	5.782969440055105845
10.3	6.6666667e-05	5.7322519158593157455	0.99999999999996580936	5.7150146136301373133
10.4	8e-05	5.6235649143094874466	0.99999999999996517223	5.6276282224296088896
10.5	9.6666667e-05	5.5107524372303509598	0.99999999999996464303	5.5236131544725124405
10.6	0.00011	5.4337256943869614236	0.9999999999999641926	5.4347556609532671522
10.7	0.00012666667	5.3496247609699686966	0.9999999999999637991	5.357965486564664985
10.8	0.00014	5.28996221395850017	0.9999999999999634507	5.298816207957145727
10.9	0.00014666667	5.2622303115486261296	0.99999999999996312726	5.25681293692090885
11.0	0.00016	5.210360397638212233	0.9999999999999628245	5.207332964291849543
11.1	0.00018	5.1401466195468758203	0.999999999999962551	5.1462567499525058027
11.2	0.00019666667	5.087357440310831846	0.9999999999999623044	5.0893502022189571273
11.3	0.00021333333	5.0388650376627446463	0.9999999999999620782	5.042617933906248474
11.4	0.00022666667	5.0027249785361101887	0.9999999999999618672	5.006034180069788674
11.5	0.00023666667	4.9769888338142245997	0.99999999999996166706	4.9815156056203373502
11.6	0.00024	4.968651250256906447	0.99999999999996147266	4.962745703379883692
11.7	0.00025333333	4.9364202678300660087	0.9999999999999612847	4.939018824617267318
11.8	0.00026333333	4.913341458669610117	0.9999999999999611053	4.919129350609893195
11.9	0.00026333333	4.913341458669610117	0.9999999999999609293	4.913427530028812145
12.0	0.00026333333	4.913341458669610117	0.9999999999999607533	4.909595791055411488
12.1	0.00027	4.8984374721655700308	0.99999999999996057966	4.902157110717954415
12.2	0.00027	4.8984374721655700308	0.99999999999996040786	4.889905917984199322
12.3	0.00028666667	4.8627304994758406504	0.9999999999999602412	4.8620648661442920167
12.4	0.00030666667	4.8225268568685841193	0.99999999999996008493	4.8207990144372769668
12.5	0.00033333333	4.7728207486078500455	0.99999999999995993987	4.76977087780852606
12.6	0.00037333333	4.705262333319827947	0.9999999999999598084	4.7153976020039963615
12.7	0.00039333333	4.6741529387953559215	0.9999999999999596874	4.6674429308831888352
12.8	0.00043666667	4.611849971930386054	0.99999999999995957536	4.616742080053037482
12.9	0.00047333333	4.5637843297372050733	0.9999999999999594735	4.5549263010801675678
13.0	0.00055333333	4.47069252830572489	0.9999999999999593825	4.4823288802667529385
13.1	0.00061	4.412571009251355143	0.9999999999999593027	4.4188136641075001854
13.2	0.00064666667	4.3777738126033193034	0.99999999999995922896	4.3758780764587614453
13.3	0.00069666667	4.3333765205401861957	0.99999999999995915984	4.336221312942117616
13.4	0.00074	4.297404287585779778	0.99999999999995909533	4.294152501330564951
13.5	0.00080666667	4.2459820693685763116	0.99999999999995903526	4.2506767719095179133
13.6	0.00086	4.207816842354981799	0.99999999999995897954	4.209069556465056002
13.7	0.00091333333	4.1719486977233596983	0.99999999999995892733	4.1720310554045648872
13.8	0.00097333333	4.134019631942871508	0.999999999999958878	4.131993276636689425
13.9	0.00106	4.0831713446927402063	0.9999999999999588324	4.088485709110589311
14.0	0.00112	4.0503486639446745266	0.99999999999995878985	4.0559615651054665908
14.1	0.00114	4.039797448552388225	0.99999999999995874887	4.033249175891191057
14.2	0.0012066667	4.005917400355724777	0.9999999999999587094	4.010305735319179458
14.3	0.00124	3.989673139052738976	0.9999999999999586715	3.98505096857467849
14.4	0.00132	3.9524029969918299857	0.99999999999995863525	3.95867877835778183
14.5	0.0013533333	3.9375362036041105735	0.9999999999999586006	3.934131046268468114
14.6	0.0014333333	3.903299344077619891	0.9999999999999585672	3.9013513488120034399
14.7	0.00155	3.8566509962019020123	0.99999999999995853615	3.8563706373940379298
14.8	0.00168	3.8086395165633686306	0.9999999999999585074	3.8048938564950954314
14.9	0.0018733333	3.743705926266893217	0.9999999999999584813	3.745429837713642312
15.0	0.0020733333	3.6832357375512332096	0.99999999999995845776	3.6840094319212479193
15.1	0.0022966667	3.6222511115588396078	0.9999999999999584365	3.6245292550602655856
15.2	0.00254	3.562217869486402682	0.9999999999999584173	3.5612952365111169985
15.3	0.0028433333	3.4949668812168557437	0.9999999999999584001	3.493736821861803589
15.4	0.00321	3.4226601924994878685	0.99999999999995838474	3.426496257450398727
15.5	0.0036733333	3.342285092977132202	0.99999999999995837103	3.3486712773399921756
15.6	0.0041566667	3.268595329208411021	0.99999999999995835926	3.2638325772056725857
15.7	0.0048733333	3.1737724027544026155	0.9999999999999583489	3.175822608701349849
15.8	0.0057633333	3.0737791578774279453	0.9999999999999583402	3.0789405068960558314
15.9	0.00667	2.9866825435482778392	0.9999999999999583327	2.9859833887788237966
16.0	0.0079766667	2.8800347736235128238	0.9999999999999583263	2.8847017975801908238
16.1	0.0095266667	2.774177760241962113	0.999999999999958321	2.778658381005427233
16.2	0.011546667	2.6595411708125292053	0.99999999999995831655	2.6752236404695164116
16.3	0.014046667	2.542707024874115564	0.99999999999995831275	2.549994132858949808
16.4	0.01694	2.4310566740857967227	0.9999999999999583099	2.4303686910277601798
