# -------------- Splitting Probability from Simulation Apparent-PMF implied by Extension Distribution ----------------
# INPUT Extension PDF file: "ext_pdf-avg50.csv"
# INPUT Absorbing Boundaries => x_a (LEFT): 16.0  |  x_b (RIGHT): 41
# INPUT Negate Apparent PMF: True
# INPUT Thermal Energy (KbT): 0.5961281070745698 kcal/mol/K
# ---------------------------------------
#EXT	PDF_AVG	PMF_APP	SP	PMF_RE
16.0	0.0658549999999998	1.621647244089709518	1.0	-2.6548908496261897734
16.025000000000002	0.0662649999999999	1.6179473756598408417	0.9997090726660921281	-2.6566322205633948156
16.05	0.06663	1.6146728009023096165	0.99941984252839545966	-2.660582552815539115
16.075	0.0672549999999999	1.609107087441161242	0.999132746984941245	-2.6657428905491761906
16.1	0.067965	1.6028468471550152381	0.9988484842358504813	-2.671283851665816692
16.125	0.0684299999999998	1.5987821725886785279	0.99856667481505638067	-2.6758306131530095466
16.150000000000002	0.068865	1.5950046629299594382	0.9982867131627437043	-2.67947121529615181
16.175	0.0692050000000001	1.5920687034007651574	0.99800832406819800827	-2.6827749152990918134
16.2	0.0696199999999999	1.5885045917296463433	0.99773144819792624737	-2.6859428414024772973
16.225	0.0699249999999999	1.5858987031319075724	0.99745600204921610216	-2.6889238780272829371
16.25	0.0702949999999998	1.5827526767228157162	0.997181881261658953	-2.6919196049499569004
16.275000000000002	0.0706599999999999	1.5796653474983152924	0.9969091899279868731	-2.6950177289296838965
16.3	0.071025	1.5765939251117375929	0.99663790359359223387	-2.6984105376274844608
16.325	0.0715449999999999	1.5722453526171568069	0.99636829946554754557	-2.7023785893671507265
16.35	0.0720399999999999	1.5681351101543131326	0.99610060154430132547	-2.7064295417177085114
16.375	0.0724799999999998	1.5645052018017458471	0.9958346362419914068	-2.7099205359632125738
16.400000000000002	0.0727949999999999	1.5619200268161742195	0.99557005438059589195	-2.7127958612533847667
16.425	0.073125	1.5592237191035842114	0.99530664192318498866	-2.7159747168771687543
16.45	0.0737099999999999	1.5544736692137721309	0.99504486810011038016	-2.7200890592037692852
16.475	0.0742399999999999	1.550202641863183169	0.99478506788070316356	-2.7241758198771393582
16.5	0.0746199999999998	1.5471591221433849553	0.99452685748385376855	-2.7275637086127314593
16.525000000000002	0.0750199999999999	1.5439721158513115476	0.9942699928497388303	-2.7306416189594183925
16.55	0.075385	1.5410787654144791206	0.99401443501876504634	-2.7338106088329169419
16.575	0.0758549999999999	1.5373736462360586919	0.9937602871715865318	-2.7374126026189103985
16.6	0.0763799999999999	1.5332619965244379336	0.9935077998570070811	-2.7408355920624534203
16.625	0.0766049999999998	1.5315085053873835816	0.9932565527913324936	-2.7433345382047062782
16.650000000000002	0.0769099999999999	1.5291397555989108918	0.99300617269217020147	-2.7455946344168758952
16.675	0.0772400000000001	1.5265874030091558894	0.9927568238413460959	-2.7481268772963487004
16.7	0.0775849999999999	1.5239306675033308459	0.9925085619969578532	-2.7510490597655453122
16.725	0.078085	1.5201012195874698569	0.9922616464336655884	-2.7541904146887847315
16.75	0.0783799999999999	1.5178533302836066853	0.99201598711154714366	-2.7572570274685002766
16.775000000000002	0.0789	1.5139114718760074494	0.99177159895437811993	-2.7606080069950431938
16.8	0.0793350000000001	1.5106338609829324878	0.99152868657919487595	-2.7640667861912026975
16.825	0.07978	1.5072994462604355818	0.9912871175891992546	-2.7676221242025542885
16.85	0.080355	1.5030183692349590452	0.99104708608587199894	-2.7707012681029008381
16.875	0.0804099999999999	1.5026104813592622341	0.9908079982638983114	-2.7724682058065345676
16.900000000000002	0.080675	1.5006491058012004647	0.9905693847789406737	-2.7739101447796923271
16.925	0.0808700000000001	1.4992099397813434223	0.9903314510440278625	-2.775442669193666942
16.95	0.081045	1.497921332062975803	0.99009406109188400453	-2.7768506613556395563
16.975	0.081265	1.4963053100819353406	0.9898572486969786478	-2.7785657401786590923
17.0	0.0815849999999999	1.4939625254360932941	0.98962122107883369426	-2.7806060278032102087
17.025000000000002	0.08184	1.4921021883925310624	0.9893860242436917012	-2.7824501106425928365
17.05	0.0820200000000001	1.4907924959424594566	0.9891514520748722447	-2.783761309933211318
17.075	0.082125	1.4900298353706446042	0.98891728737336556264	-2.7847963538595405743
17.1	0.082305	1.4887246830002063286	0.9886835283557790458	-2.7857844467490075033
17.125	0.0823849999999999	1.4881455312324370061	0.98845013860369580544	-2.7868425980494197064
17.150000000000002	0.08263	1.4863753710221437636	0.9882172080584092127	-2.788465302581026049
17.175	0.0829600000000001	1.4839993515068849076	0.98798508593838023644	-2.7905442651528561781
17.2	0.08321	1.4822056205179949736	0.9877537744128224305	-2.79282917132212091
17.225	0.083655	1.479026072541714898	0.9875234251930041162	-2.7952235619491704465
17.25	0.083855	1.4776025673412077043	0.98729396424145358653	-2.796581156665711454
17.275000000000002	0.08377	1.4782071417596347556	0.9870646609806969737	-2.7971052435830403393
17.3	0.084035	1.4763243125268993299	0.9868356031751509759	-2.7981696774553480981
17.325	0.08419	1.475225785164804456	0.9866071176240619772	-2.7992965191454093248
17.35	0.08425	1.4748010916485698635	0.9863789238810202213	-2.7997395097449115362
17.375	0.084225	1.4749780105123331318	0.98615077756823066226	-2.7994558829261606612
17.400000000000002	0.084055	1.4761824532586768507	0.98592236665530222	-2.7988360639845469271
17.425	0.08407	1.4760760809567604745	0.9856937453942951309	-2.7983042594711137582
17.45	0.08391	1.4772116986014379292	0.9854649265820994215	-2.797709708104002262
17.475	0.08388	1.4774248679607895763	0.9852358488633462254	-2.7972127670953504978
17.5	0.08382	1.4778514354974699515	0.98500664818283886336	-2.7968127292618195868
