EXT	PDF	PMF_APP	SP	PMF_RE
11.7	5e-05	5.903747288129925697	1.0	5.7322519188399563513
11.8	0.0001	5.490542771458650483	0.975657418843794402	5.623564914309486457
11.9	0.0001	5.490542771458650483	0.9594290314063242915	5.623564914309487516
12.0	5e-05	5.903747288129925697	0.93508645025011912595	5.8241454718096379115
12.1	5e-05	5.903747288129925697	0.90262967537517890506	5.9037472881299265033
12.3	5e-05	5.903747288129925697	0.837716125625297887	5.7950602835994557537
12.4	0.0001	5.490542771458650483	0.8133735444690927214	5.6235649143094875164
12.5	0.0001	5.490542771458650483	0.7971451570316226109	5.4905427714586505315
12.6	0.0001	5.490542771458650483	0.78091676959415250056	5.3732782361076685917
12.7	0.00035	4.743735554436387925	0.7704842348129217151	5.422984356809335644
12.8	5e-05	5.903747288129925697	0.7519375063129555451	5.5763221363984557073
12.9	0.0003	4.8356291074060695303	0.73300438763590708256	5.319047402168681161
13.0	0.0003	4.8356291074060695303	0.7275949251567503783	4.8356291074060695706
13.1	0.0003	4.8356291074060695303	0.72218546267759367417	4.797155880966937142
13.2	0.0004	4.664133738116100054	0.71745218300833155827	4.68368067312688088
13.3	0.0005	4.5311115952652630855	0.7138007958349007185	4.5826364413210204187
13.4	0.00045	4.593919960024763675	0.71037480293143480614	4.5503670963386452447
13.5	0.00055	4.474294518193573996	0.7070963408228549857	4.5572504508681423913
13.6	0.0004	4.664133738116100054	0.7035924844443103028	4.54229631561310377
13.7	0.00075	4.2894024478839572665	0.7004820435187951983	4.416003040951744793
13.8	0.0007	4.330531037765112711	0.69824098049171595264	4.3452509981673369138
13.9	0.0006	4.4224245907347943156	0.6957294443406789115	4.3408987444266672984
14.0	0.00095	4.148484453082857037	0.6935229530662860454	4.1717347355859435818
14.1	0.00165	3.8193808541409930014	0.69217705809539538235	3.9655904935499252802
14.2	0.0012	4.009220074063519101	0.69100910596921382117	3.9050793497722466737
14.3	0.0019	3.7352799364115818225	0.68990586033201736847	3.784369739583679514
14.4	0.0025	3.571680419071875672	0.6891542297559661213	3.609107505983475584
14.5	0.00265	3.536944685170627983	0.68852346601783049056	3.5458202055534944039
14.6	0.00265	3.536944685170627983	0.6879110740390580335	3.542760615273096613
14.7	0.00255	3.559875516346700824	0.68728667437442729303	3.4957233199243998715
14.8	0.00405	3.284092631919601624	0.68676812023699178284	3.3344236647653150974
14.9	0.0053	3.1237401684993527688	0.68641467178010767957	3.1693656463701058018
15.0	0.00525	3.1293907141904194352	0.6861070177145815166	3.1112940472376747556
15.1	0.0059	3.0598080934974543244	0.6858149329366512636	3.0644844850064789877
15.2	0.0065	3.002073190059583254	0.6855525704800350585	3.0193061117901457868
15.3	0.0064	3.011315671430999196	0.68530095245366081785	2.9701583490226865522
15.4	0.00855	2.8386571249776949473	0.6850792653262940615	2.8820521397077655664
15.5	0.00885	2.818098946116148476	0.6848926766710510708	2.8074267508945125662
15.6	0.0099	2.7512626734171367012	0.6847190293136051058	2.749903557336964182
15.7	0.01135	2.6697821032345829967	0.6845655770673334732	2.6721910188920403259
15.8	0.01305	2.58658027093483459	0.68443190864413085443	2.5821727067795820568
15.9	0.0159	2.4688265044467717026	0.6843186982495876703	2.474459806480401726
16.0	0.0194	2.3502244587589008961	0.68422583984387174365	2.3618149602059058572
16.1	0.0226	2.259209503011008411	0.6841481105910237192	2.2665396332717074436
16.2	0.02555	2.1860720893043810939	0.68408044898224740243	2.1711735303767664188
16.3	0.03315	2.0308371111410210151	0.68402421367971284516	2.0551332904636340061
16.4	0.03815	1.9470912217748368184	0.68397846728986521275	1.9385572477380196163
16.5	0.04815	1.8083153522535194754	0.6839403461977708621	1.8321206701874386261
16.6	0.05345	1.7460643770690589127	0.6839083133847431493	1.7435910897027670521
16.7	0.0612	1.6653483022802942145	0.68387987399328167235	1.6807941260218514638
16.8	0.06375	1.6410131639599260297	0.68385388735980337017	1.6256064709660600862
16.9	0.07445	1.5485187762942530913	0.6838302603629363233	1.5579449001041305358
17.0	0.0831	1.482994197288369017	0.68380959714037299727	1.5078182227722914791
17.1	0.07885	1.5142893660928297765	0.6837895420971295439	1.5082610804227985172
17.2	0.078	1.520750492664451765	0.6837688486141322338	1.520590824586352638
17.3	0.07725	1.5265102293269886149	0.6837479419910331774	1.5330720393971259276
17.4	0.0733	1.5577987920978270407	0.6837263683390315078	1.5642782685820934622
17.5	0.06695	1.6118166643672772236	0.6837031787161622775	1.6193703959933708989
17.6	0.05885	1.6886899104223298329	0.6836772710098998684	1.6693424322378966556
17.7	0.05925	1.6846517706317478381	0.6836497882434247753	1.7144429412523848871
17.8	0.04945	1.7924339511477632803	0.6836196845165310023	1.7802428648812044901
17.9	0.0456	1.8407527223451751229	0.6835854813468857043	1.8319152132574700448
18.0	0.04475	1.8519696308351974168	0.68354955478594834646	1.881627571208747084
18.1	0.0366	1.971817135662836232	0.6835092525812886335	1.9396671497767493542
18.2	0.03765	1.9549558227430964089	0.68346553100975211535	1.9594128095315496078
18.3	0.0376	1.9557480196797130832	0.6834223990639654164	1.963432041928110718
18.4	0.0357	1.9866592659818878027	0.6833780899275759364	1.9743512717348154546
18.5	0.03685	1.9677590661656230197	0.68333334157200510917	1.9785656909452169991
18.6	0.0354	1.9916899127735980471	0.68328840059919745113	1.987297748225923884
18.7	0.03505	1.9976131648408068047	0.68324232880930207366	2.003938025711152178
18.8	0.0333	2.0281457832872302313	0.68319481152248525254	2.0227217451285212217
18.9	0.03285	2.0362564948927568786	0.68314574383246698635	2.0287322114419821674
