DIST	PDF	PMF_APP	SP	PMF_RE
5.55	0.0002	5.0773382547873752682	1.0	-1.342558311240301386
5.7	0.0001	5.490542771458650483	0.98422376393076457866	-1.2506647582706219387
5.85	0.0001	5.490542771458650483	0.9631887825051174749	-1.2679450437556256213
5.95	0.0002	5.0773382547873752682	0.9526712917922938296	-1.4855996497184619042
6.1	0.0005	4.5311115952652630855	0.94530904829331734314	-2.0280493497817127509
6.15	0.0005	4.5311115952652630855	0.94390671619827417796	-1.7172896014724415558
6.2	0.0001	5.490542771458650483	0.9396997199131447573	-1.405366675999801953
6.25	0.0002	5.0773382547873752682	0.9344409745567329813	-1.4127720893316404805
6.35	0.0002	5.0773382547873752682	0.9274293140815172799	-1.4127720893316334828
6.4	0.0001	5.490542771458650483	0.92217056872510541057	-1.3425583112403013915
6.45	0.0002	5.0773382547873752682	0.91691182336869363456	-1.4512453157707702173
6.5	0.0002	5.0773382547873752682	0.9134059931310857839	-1.6638692749418950529
6.55	0.0004	4.664133738116100054	0.910776620452879896	-1.7557628279115766096
6.6	0.0002	5.0773382547873752682	0.90814724777467400796	-1.5140536805302725518
6.65	0.0001	5.490542771458650483	0.90288850241826213865	-1.2506647582706190722
6.7	0.0001	5.490542771458650483	0.8958768419430464373	-1.2506647582706198306
6.75	0.0002	5.0773382547873752682	0.8906180965866346614	-1.3425583112403013866
6.8	0.0001	5.490542771458650483	0.88535935123022288545	-1.3425583112403013866
6.85	0.0002	5.0773382547873752682	0.8801006058738111095	-1.3425583112403013866
6.9	0.0001	5.490542771458650483	0.87484186051739924007	-1.2797499464808041141
7.0	0.0001	5.490542771458650483	0.86081853956696783756	-1.3425583112402992383
7.05	0.0004	4.664133738116100054	0.85643625176995802416	-1.4512453157707702233
7.1	0.0001	5.490542771458650483	0.8520539639729482109	-1.4413917342873412636
7.25	0.0003	4.8356291074060695303	0.83803064302251672487	-1.6096384410028947107
7.3	0.0002	5.0773382547873752682	0.83510911782451018254	-1.6929544631520760149
7.35	0.0003	4.8356291074060695303	0.83218759262650364016	-1.7557628279115759608
7.4	0.0003	4.8356291074060695303	0.82985037246809836457	-1.8887849707624140992
7.45	0.0005	4.5311115952652630855	0.82798059634137417736	-1.8724516721438679169
7.5	0.0002	5.0773382547873752682	0.82552651517504868194	-1.7601950275634851164
7.6	0.0003	4.8356291074060695303	0.8196834647790355972	-1.4923739056519213684
7.65	0.0001	5.490542771458650483	0.8150090244622250465	-1.3766320482860945241
7.7	0.0002	5.0773382547873752682	0.8097502791058132705	-1.3425583112403013866
7.75	0.0001	5.490542771458650483	0.80449153374940149457	-1.2797499464808026728
7.85	0.0001	5.490542771458650483	0.79046821279897009195	-1.2797499464807965758
7.9	0.0002	5.0773382547873752682	0.78520946744255822264	-1.3425583112403013891
7.95	0.0001	5.490542771458650483	0.7799507220861464467	-1.2506647582706198265
8.0	0.0001	5.490542771458650483	0.77293906161093074535	-1.2948426034297517563
8.05	0.0004	4.664133738116100054	0.7685567738139208542	-1.4512453157707702291
8.1	0.0001	5.490542771458650483	0.7641744860169111188	-1.3944282386990821187
8.15	0.0002	5.0773382547873752682	0.7589157406604992494	-1.3425583112403013866
8.2	0.0001	5.490542771458650483	0.7536569953040875669	-1.2506647582706213434
8.25	0.0001	5.490542771458650483	0.74664533482887174103	-1.1710629419503319886
8.3	0.0001	5.490542771458650483	0.7396336743536559152	-1.2948426034297554232
8.35	0.0004	4.664133738116100054	0.7352513865566461798	-1.4512453157707702439
8.45	0.0001	5.490542771458650483	0.7264868109626265531	-1.4512453157707702247
8.55	0.0004	4.664133738116100054	0.71772223536860677094	-1.6361373860803954402
8.6	0.0002	5.0773382547873752682	0.7150928626904009296	-1.5140536805302743084
8.65	0.0001	5.490542771458650483	0.7098341173339890602	-1.2506647582706183179
8.7	0.0001	5.490542771458650483	0.7028224568587734835	-1.2506647582706183137
8.75	0.0002	5.0773382547873752682	0.6975637115023616141	-1.4923739056519256381
8.8	0.0003	4.8356291074060695303	0.6946421863043550199	-1.5365517508110563387
8.85	0.0001	5.490542771458650483	0.6899677459875446353	-1.4127720893316377912
8.9	0.0003	4.8356291074060695303	0.68529330567073408454	-1.584267458621610691
8.95	0.0003	4.8356291074060695303	0.68295608551232889194	-1.8887849707624123355
9.0	0.0005	4.5311115952652630855	0.68108630938560467156	-1.8724516721438679111
9.05	0.0002	5.0773382547873752682	0.6786322282192791325	-1.7759724957388908725
9.1	0.0004	4.664133738116100054	0.67600285554107329125	-1.7557628279115766047
9.15	0.0002	5.0773382547873752682	0.67337348286286735654	-1.7759724957388916049
9.2	0.0005	4.5311115952652630855	0.6709194016965419047	-1.9724559367190723944
9.25	0.0007	4.330531037765112711	0.6697174027579334773	-2.0060495061133955213
9.3	0.0002	5.0773382547873752682	0.6674636547480426762	-1.8476563808812581569
9.35	0.0007	4.330531037765112711	0.665209906738151955	-2.006049506113392297
9.4	0.0005	4.5311115952652630855	0.6640079077995435277	-2.1746719633028517439
9.45	0.0005	4.5311115952652630855	0.66260557570450041235	-2.0943540770981770617
9.5	0.0004	4.664133738116100054	0.6610279520975768515	-2.0280493497817515705
9.55	0.0004	4.664133738116100054	0.659275036978772895	-1.9497562674823331768
9.6	0.0003	4.8356291074060695303	0.6572299693401683517	-1.7898365649573718972
9.65	0.0002	5.0773382547873752682	0.6543084441421617574	-1.742660583853745475
9.7	0.0005	4.5311115952652630855	0.65185436297583630554	-1.8724516721438664701
9.75	0.0003	4.8356291074060695303	0.64998458684911208515	-1.8887849707624135276
