T	FPT
9.764764764764765e-06	0.0
9.799799799799801e-06	0.0
9.834834834834835e-06	0.0
9.86986986986987e-06	0.0
9.904904904904906e-06	0.0
9.939939939939942e-06	0.0
9.974974974974976e-06	0.0
1.0010010010010011e-05	0.0
1.0045045045045045e-05	0.0
1.0080080080080081e-05	0.0
1.0115115115115117e-05	0.0
1.0150150150150152e-05	0.0
1.0185185185185186e-05	0.0
1.022022022022022e-05	0.0
1.0255255255255256e-05	0.0
1.0290290290290291e-05	0.0
1.0325325325325327e-05	0.0
1.0360360360360363e-05	0.0
1.0395395395395397e-05	0.0
1.043043043043043e-05	0.0
1.0465465465465466e-05	0.0
1.0500500500500502e-05	0.0
1.0535535535535537e-05	0.0
1.0570570570570571e-05	0.0
1.0605605605605607e-05	0.0
1.0640640640640641e-05	0.0
1.0675675675675677e-05	0.0
1.0710710710710712e-05	0.0
1.0745745745745748e-05	0.0
1.0780780780780782e-05	0.0
1.0815815815815817e-05	0.0
1.0850850850850851e-05	0.0
1.0885885885885887e-05	0.0
1.0920920920920923e-05	0.0
1.0955955955955958e-05	0.0
1.0990990990990992e-05	0.0
1.1026026026026026e-05	0.0
1.1061061061061062e-05	0.0
1.1096096096096097e-05	0.0
1.1131131131131133e-05	0.0
1.1166166166166169e-05	0.0
1.1201201201201203e-05	0.0
1.1236236236236236e-05	0.0
1.1271271271271272e-05	0.0
1.1306306306306308e-05	0.0
1.1341341341341343e-05	0.0
1.1376376376376377e-05	0.0
1.1411411411411413e-05	0.0
1.1446446446446447e-05	0.0
1.1481481481481482e-05	0.0
1.1516516516516518e-05	0.0
1.1551551551551554e-05	0.0
1.1586586586586588e-05	0.0
1.1621621621621623e-05	0.0
1.1656656656656657e-05	0.0
1.1691691691691693e-05	0.0
1.1726726726726728e-05	0.0
1.1761761761761764e-05	0.0
1.1796796796796798e-05	0.0
1.1831831831831832e-05	0.0
1.1866866866866868e-05	0.0
1.1901901901901903e-05	0.0
1.1936936936936939e-05	0.0
1.1971971971971975e-05	0.0
1.2007007007007008e-05	0.0
1.2042042042042042e-05	0.0
1.2077077077077078e-05	0.0
1.2112112112112114e-05	0.0
1.214714714714715e-05	0.0
1.2182182182182183e-05	0.0
1.2217217217217219e-05	0.0
1.2252252252252253e-05	0.0
1.2287287287287288e-05	0.0
1.2322322322322324e-05	0.0
1.235735735735736e-05	0.0
1.2392392392392394e-05	0.0
1.242742742742743e-05	0.0
1.2462462462462463e-05	0.0
1.2497497497497499e-05	0.0
1.2532532532532534e-05	0.0
1.256756756756757e-05	0.0
1.2602602602602604e-05	0.0
1.2637637637637638e-05	0.0
1.2672672672672674e-05	0.0
1.270770770770771e-05	0.0
1.2742742742742745e-05	0.0
1.277777777777778e-05	0.0
1.2812812812812813e-05	0.0
1.2847847847847848e-05	0.0
1.2882882882882884e-05	0.0
1.291791791791792e-05	0.0
1.2952952952952955e-05	0.0
1.298798798798799e-05	0.0
1.3023023023023023e-05	0.0
1.3058058058058059e-05	0.0
1.3093093093093094e-05	0.0
1.312812812812813e-05	0.0
1.3163163163163166e-05	0.0
1.3198198198198201e-05	0.0
1.3233233233233233e-05	0.0
1.3268268268268269e-05	0.0
1.3303303303303305e-05	0.0
1.333833833833834e-05	0.0
1.3373373373373376e-05	0.0
1.3408408408408412e-05	0.0
1.3443443443443444e-05	0.0
1.347847847847848e-05	0.0
1.3513513513513515e-05	0.0
1.354854854854855e-05	0.0
1.3583583583583586e-05	0.0
1.3618618618618619e-05	0.0
1.3653653653653654e-05	0.0
1.368868868868869e-05	0.0
1.3723723723723725e-05	0.0
1.3758758758758761e-05	0.0
1.3793793793793797e-05	0.0
1.3828828828828829e-05	0.0
1.3863863863863865e-05	0.0
1.38988988988989e-05	0.0
1.3933933933933936e-05	0.0
1.3968968968968971e-05	0.0
1.4004004004004007e-05	0.0
1.403903903903904e-05	0.0
1.4074074074074075e-05	0.0
1.410910910910911e-05	0.0
1.4144144144144146e-05	0.0
1.4179179179179182e-05	0.0
1.4214214214214217e-05	0.0
1.424924924924925e-05	0.0
1.4284284284284285e-05	0.0
