#X	PMF_FIT
13.0	-1.3321155033816312
13.026052104208416	-1.3938361620306206
13.052104208416834	-1.4549237683225258
13.07815631262525	-1.5153656328166836
13.104208416833668	-1.5751489105956873
13.130260521042084	-1.6342606251962184
13.156312625250502	-1.692687694554075
13.182364729458918	-1.7504169589399023
13.208416833667334	-1.8074352108414766
13.234468937875752	-1.8637292267268448
13.260521042084168	-1.9192858005994717
13.286573146292586	-1.9740917792325665
13.312625250501002	-2.0281340989448533
13.338677354709418	-2.081399823755181
13.364729458917836	-2.133876184727733
13.390781563126252	-2.185550620295103
13.41683366733467	-2.2364108173225463
13.442885771543086	-2.286444752653824
13.468937875751504	-2.3356407348584938
13.49498997995992	-2.3839874458818286
13.521042084168336	-2.4314739822831832
13.547094188376754	-2.4780898957358115
13.57314629258517	-2.5238252324529467
13.599198396793588	-2.5686705712004474
13.625250501002004	-2.612617059556123
13.651302605210422	-2.655656448080897
13.677354709418838	-2.6977811220766688
13.703406813627254	-2.738984130620287
13.729458917835672	-2.779259212582901
13.755511022044088	-2.818600819368267
13.781563126252506	-2.8570041341328754
13.807615230460922	-2.8944650872836486
13.83366733466934	-2.9309803680862965
13.859719438877756	-2.966547432257056
13.885771543086172	-3.0011645054535534
13.91182364729459	-3.034830582624559
13.937875751503006	-3.0675454232237667
13.963927855711423	-3.099309542338544
13.98997995991984	-3.1301241978291916
14.016032064128257	-3.159991373618095
14.042084168336673	-3.18891375930944
14.06813627254509	-3.2168947263588596
14.094188376753507	-3.2439383010473923
14.120240480961924	-3.2700491345454057
14.14629258517034	-3.2952324703787514
14.172344689378757	-3.319494109631284
14.198396793587174	-3.3428403742349064
14.224448897795591	-3.36527806871006
14.250501002004007	-3.3868144407261505
14.276553106212425	-3.4074571408532406
14.302605210420841	-3.4272141818730812
14.328657314629258	-3.4460938980098508
14.354709418837675	-3.4641049044291288
14.380761523046091	-3.481256057337949
14.40681362725451	-3.497556414999701
14.432865731462925	-3.513015199955874
14.458917835671343	-3.5276417627223466
14.48496993987976	-3.5414455472018003
14.511022044088175	-3.554436058026459
14.537074148296593	-3.5666228300168075
14.56312625250501	-3.5780153999132205
14.589178356713427	-3.588623280508407
14.615230460921843	-3.598455937279945
14.641282565130261	-3.607522767594207
14.667334669338677	-3.6158330825258194
14.693386773547093	-3.623396091310854
14.719438877755511	-3.6302208884273135
14.745490981963927	-3.6363164432733712
14.771543086172345	-3.6416915923922395
14.797595190380761	-3.6463550341728053
14.823647294589179	-3.650315325937057
14.849699398797595	-3.6535808833090653
14.875751503006011	-3.6561599817458252
14.901803607214429	-3.6580607600975346
14.927855711422845	-3.6592912260539796
14.953907815631263	-3.659859263324488
14.97995991983968	-3.659772640391382
15.006012024048097	-3.6590390206709587
15.032064128256513	-3.65766597391176
15.05811623246493	-3.6556609886570373
15.084168336673347	-3.6530314855970283
15.110220440881763	-3.6497848316367443
15.13627254509018	-3.6459283545063244
15.162324649298597	-3.641469357743758
15.188376753507015	-3.636415135883623
15.214428857715431	-3.6307729896905534
15.240480961923847	-3.6245502412822335
15.266533066132265	-3.6177542489938483
15.292585170340681	-3.610392421843907
15.318637274549097	-3.6024722334702477
15.344689378757515	-3.5940012354146202
15.370741482965933	-3.584987069644535
15.396793587174349	-3.5754374802118676
15.422845691382765	-3.5653603239590237
15.448897795591183	-3.5547635801951247
15.474949899799599	-3.543655359276536
15.501002004008015	-3.53204391003814
15.527054108216433	-3.5199376260338022
15.553106212424849	-3.5073450505564443
15.579158316633267	-3.494274880419975
15.605210420841683	-3.4807359684967767
15.6312625250501	-3.4667373250155533
15.657314629258517	-3.4522881176349705
15.683366733466933	-3.4373976703184845
15.70941883767535	-3.4220754610451434
15.735470941883767	-3.406331118399755
15.761523046092185	-3.3901744170936143
15.7875751503006	-3.373615272474004
15.813627254509019	-3.35666373408674
15.839679358717435	-3.339329978361289
15.86573146292585	-3.3216243004922057
15.891783567134269	-3.3035571055940633
15.917835671342685	-3.285138899209509
15.943887775551103	-3.266380277251607
15.969939879759519	-3.2472919154624806
15.995991983967937	-3.2278845584700586
16.02204408817635	-3.2081690085240164
16.04809619238477	-3.188156113990383
16.074148296593187	-3.1678567576821854
16.100200400801604	-3.147281845100653
16.12625250501002	-3.1264422926583526
16.152304609218437	-3.1053490159518096
16.178356713426854	-3.0840129181472227
16.20440881763527	-3.0624448785384066
16.230460921843687	-3.040655741331547
16.256513026052104	-3.0186563047066506
16.282565130260522	-2.9964573102005794
16.308617234468937	-2.974069432451799
16.334669338677354	-2.9515032693419787
16.360721442885772	-2.9287693325648485
16.386773547094187	-2.9058780386478795
16.412825651302605	-2.8828397004478825
16.438877755511022	-2.859664519137202
16.46492985971944	-2.8363625766929217
16.490981963927855	-2.812943828897641
16.517034068136272	-2.7894180988565744
16.54308617234469	-2.76579507103238
16.569138276553105	-2.742084285795823
16.595190380761522	-2.718295134487564
16.62124248496994	-2.6944368549837465
16.647294589178358	-2.6705185277556063
16.673346693386772	-2.6465490724113763
16.69939879759519	-2.622537244706835
16.725450901803608	-2.5984916340093833
16.751503006012022	-2.5744206611991225
16.77755511022044	-2.550332576989375
16.803607214428858	-2.5262354606482407
16.829659318637276	-2.502137219102038
16.85571142284569	-2.4780455864010653
16.881763527054108	-2.453968123527783
16.907815631262526	-2.4299122185274005
16.93386773547094	-2.405885086940767
16.95991983967936	-2.3818937725196743
16.985971943887776	-2.3579451482048928
17.012024048096194	-2.3340459173475323
17.03807615230461	-2.3102026151548305
17.064128256513026	-2.286421610341899
17.09018036072144	-2.262709106971585
