X	PMF_IM
-130.91	-2.4282068918284083
-130.74050847457627	-2.440331287750899
-130.57101694915255	-2.4524014719972724
-130.4015254237288	-2.4644173217151515
-130.23203389830508	-2.4763787156334662
-130.06254237288135	-2.4882855340905787
-129.89305084745763	-2.5001376590621183
-129.7235593220339	-2.5119349741885526
-129.55406779661016	-2.523677364802468
-129.38457627118643	-2.5353647179555265
-129.2150847457627	-2.5469969224451305
-129.045593220339	-2.558573868840734
-128.87610169491526	-2.5700954495098265
-128.7066101694915	-2.581561558643542
-128.5371186440678	-2.5929720922819084
-128.36762711864407	-2.6043269483387186
-128.19813559322034	-2.615626026625988
-128.02864406779662	-2.6268692288780366
-127.85915254237288	-2.638056458775109
-127.68966101694915	-2.6491876219665906
-127.52016949152542	-2.660262626093782
-127.35067796610169	-2.6712813808122
-127.18118644067796	-2.6822437978134244
-127.01169491525424	-2.693149790846468
-126.8422033898305	-2.703999275738641
-126.67271186440678	-2.714792170415939
-126.50322033898304	-2.7255283949229083
-126.33372881355932	-2.736207871441982
-126.1642372881356	-2.7468305243123043
-125.99474576271186	-2.7573962800480047
-125.82525423728814	-2.7679050673559145
-125.6557627118644	-2.77835681715274
-125.48627118644067	-2.7887514625816614
-125.31677966101695	-2.799088939028347
-125.14728813559321	-2.8093691841363992
-124.97779661016949	-2.8195921378221964
-124.80830508474575	-2.8297577422891345
-124.63881355932203	-2.8398659420412744
-124.46932203389831	-2.8499166838963528
-124.29983050847457	-2.8599099169982076
-124.13033898305085	-2.8698455928285327
-123.96084745762711	-2.8797236652180396
-123.79135593220339	-2.8895440903569636
-123.62186440677965	-2.8993068268049207
-123.45237288135593	-2.909011835500144
-123.2828813559322	-2.9186590797680387
-123.11338983050847	-2.9282485253290984
-122.94389830508474	-2.9377801403061605
-122.774406779661	-2.9472538952310123
-122.60491525423728	-2.9566697630502996
-122.43542372881356	-2.966027719130809
-122.26593220338982	-2.975327741264064
-122.0964406779661	-2.984569809670247
-121.92694915254236	-2.9937539070014627
-121.75745762711864	-3.002880018344327
-121.58796610169492	-3.0119481312218883
-121.41847457627118	-3.0209582355948705
-121.24898305084746	-3.0299103238622638
-121.07949152542372	-3.038804390861231
-120.91	-3.0476404338663547
-120.74050847457627	-3.0564184525882254
-120.57101694915254	-3.065138449171365
