#================  DISTANCE B/W 2 ATOMS  =================
#LOG: INPUT Structure File: "dna_dummy.psf" | Frame File(s): [ "dna_gbis_pcf.dcd" ]
#LOG: ATOM1 SELECTION: "resid 1 and name C5'"
#LOG: ATOM2 SELECTION: "resid 1 and name DUM"
#LOG: DIR Unit Vector: {1.0 0.0 0.0}  |  Force Positive Distances: 0
#--------------------------
#LOG: Total Frames: 1000
#LOG: START Frame Index: 0 | END Frame Index: 999 | Frames for Calculation: 1000
#--------------------------
#Frame 	 DIST
0 	 20.708324432373047
1 	 21.785934448242188
2 	 22.655675888061523
3 	 23.470008850097656
4 	 23.682939529418945
5 	 23.763328552246094
6 	 23.29443359375
7 	 22.13675308227539
8 	 20.749874114990234
9 	 19.367155075073242
10 	 18.002775192260742
11 	 17.24080467224121
12 	 16.49626922607422
13 	 16.52832794189453
14 	 16.762378692626953
15 	 17.161056518554688
16 	 18.193288803100586
17 	 19.51569366455078
18 	 21.2194766998291
19 	 22.646181106567383
20 	 23.85326385498047
21 	 24.350120544433594
22 	 24.744619369506836
23 	 24.678438186645508
24 	 23.93813705444336
25 	 22.62212371826172
26 	 21.463594436645508
27 	 20.188825607299805
28 	 18.951801300048828
29 	 17.740692138671875
30 	 16.990985870361328
31 	 16.20345115661621
32 	 15.890911102294922
33 	 16.074838638305664
34 	 17.056671142578125
35 	 18.002495765686035
36 	 19.218603134155273
37 	 20.834949493408203
38 	 22.230995178222656
39 	 23.79551601409912
40 	 24.76591682434082
41 	 25.085165977478027
42 	 24.961143493652344
43 	 24.239948272705078
44 	 22.980764389038086
45 	 21.628211975097656
46 	 19.94497776031494
47 	 18.2854642868042
48 	 16.815763473510742
49 	 15.848454475402832
50 	 15.407435417175293
51 	 15.643973350524902
52 	 16.223383903503418
53 	 17.20853614807129
54 	 18.586132049560547
55 	 20.312342643737793
56 	 22.285579681396484
57 	 23.957301139831543
58 	 25.188584327697754
59 	 25.59161949157715
60 	 25.533185958862305
61 	 24.891450881958008
62 	 23.69558048248291
63 	 22.135740280151367
64 	 20.383732795715332
