DIST	PDF	PMF_APP	SP	PMF_RE
9.525	0.000104	5.467162201968470289	1.0	-0.99806737539979272406
9.575	0.000118	5.3918749625555043763	0.99062756263854280774	-1.0375057248513696394
9.625	0.000137	5.302875241031066486	0.98245510788659128656	-1.1166805287620082022
9.675	0.000152	5.2409377721270814007	0.9752647814688655188	-1.188077722646936261
9.725	0.000171	5.170723994035744977	0.9688263846111635896	-1.2577631816395765964
9.775	0.000195	5.0924309117363274597	0.96313961960381761114	-1.3335580506486285742
9.825	0.000222	5.0151263163978613575	0.9581488975000071783	-1.4053863880098717688
9.875	0.000242	4.963704100643997163	0.9536741909582708087	-1.4598166981363726545
9.925	0.000256	4.930178023817774078	0.9495094410220150325	-1.5012784801852566254
9.975	0.000277	4.8831792470702752346	0.94561520389097920386	-1.5447955006980687303
10.025	0.0003	4.8356291074060695303	0.9420177957915446524	-1.5905256192318898078
10.075	0.000321	4.7952958853641505367	0.9386767668954907736	-1.6384691689247794828
10.125	0.000358	4.730263159415359675	0.9356155321500981409	-1.691464911884079479
10.175	0.000384	4.6884688764364682166	0.932819098155072107	-1.7412759673981797971
10.225	0.000417	4.63932188796938835	0.9302274254461912971	-1.7890911190383895912
10.275	0.000455	4.5873328420953706744	0.9278462908116730375	-1.8370943686780183104
10.325	0.000485	4.5492691849661139394	0.9256393553296943317	-1.8797092713691741643
10.375	0.00052	4.507731025775082891	0.92357475544728465794	-1.9204372345487153574
10.425	0.000558	4.4656860204835147395	0.92164990879074611455	-1.961232019681266083
10.475	0.000594	4.428415878422605739	0.91984918644494298743	-1.9976861401717343432
10.525	0.000623	4.40000012105994885	0.9181453378308750452	-2.0300666633906831544
10.575	0.000661	4.364704972828971193	0.916529899303612976	-2.0610426455471577629
10.625	0.000689	4.3399731490229981118	0.91499412284606941045	-2.090861402192618299
10.675	0.00073	4.305514999191306339	0.91353243299285672113	-2.1208409223807836786
10.725	0.000763	4.279158090832886907	0.91214367257961717557	-2.1499488284490834882
10.775	0.000801	4.2501845266483245893	0.9108178219065185704	-2.1780864335875557635
10.825	0.00084	4.221844033234643845	0.9095542158534150645	-2.2075706262866490433
10.875	0.000887	4.1893889767681497132	0.9083533227508498267	-2.2371725398506333606
10.925	0.000925	4.1643821447349427586	0.90720910742757246886	-2.264332254343953504
10.975	0.000966	4.1385280110854754465	0.90611266056687295704	-2.2912534410987048105
11.025	0.001018	4.1072722019697806084	0.90506738287429971154	-2.3197905104573141592
11.075	0.001063	4.0814865726610911087	0.90407104656748369607	-2.3472663335604924603
11.125	0.001112	4.054622002008143779	0.90311773222214925574	-2.3722096346895435893
11.175	0.00115	4.034591056444819441	0.90220129041775435963	-2.393978215161404891
11.225	0.001189	4.0147097814886098513	0.9013150216487432211	-2.413389893669225591
11.275	0.001225	3.996928337414125346	0.90045633592759886005	-2.4329535072600345618
11.325	0.001273	3.9740158701129560579	0.89962640325824060576	-2.4523543484907702951
11.375	0.001303	3.9601302708914204265	0.8988217885668168604	-2.468703597090905283
11.425	0.001335	3.9456670145075181614	0.8980360754044778844	-2.4842028566932241867
11.475	0.001379	3.9263361853925521443	0.89727227614989172504	-2.5010103573131334483
11.525	0.001412	3.9122386258523497847	0.89652964050197667736	-2.5169745343365364661
11.575	0.001451	3.8959966179088791124	0.89580564785135694797	-2.5327561497415835637
11.625	0.001492	3.879385789649535277	0.8951013295957136703	-2.5497282449604890915
11.675	0.001539	3.8608966659305829416	0.89441742832266892655	-2.5674163747417547772
11.725	0.001584	3.8437159924613611838	0.8937536957886158755	-2.5849946638872471842
11.775	0.001631	3.8262851885796268405	0.8931089526074489521	-2.602928305920519717
11.825	0.001686	3.8065142804191319649	0.8924839974463882204	-2.6227663510401527697
11.875	0.001751	3.7839638309003632878	0.8918808121664575934	-2.644871783970778632
11.925	0.001822	3.7602690825946672836	0.89130056448173236165	-2.6662137714256890079
11.975	0.001869	3.7450864570073677817	0.8907389978554276151	-2.6859644606411682119
12.025	0.001949	3.7201010040063894504	0.8901959605041680062	-2.706604038125058892
12.075	0.002007	3.70261975633524496	0.88967198378643093615	-2.727226354349524902
12.125	0.002084	3.6801766931233300172	0.88916522730605861163	-2.7497693392982656834
12.175	0.002185	3.6519639142624134027	0.88867950067240647776	-2.7746640479628531
12.225	0.002262	3.6313178821685105848	0.8882133374509659684	-2.797784759641134427
12.275	0.00235	3.6085660863648139412	0.88776382290007439	-2.8197303138435582497
12.325	0.002437	3.5868953712529881368	0.8873307560363686131	-2.8433568842228932562
12.375	0.002557	3.5582413282273456462	0.8869155370541667997	-2.8693419042237457302
12.425	0.002667	3.5331326812762216985	0.88651865236675373154	-2.895748951536278181
12.475	0.002789	3.5064685485788740196	0.88613862248158477454	-2.9215377490200999991
12.525	0.002907	3.481765886305101213	0.8857746308882990264	-2.9467994385485172509
12.575	0.003031	3.456865033154139388	0.88542547116241200145	-2.9705889051856707948
12.625	0.003137	3.4363735282039441275	0.8850893786565654586	-2.992414214212160237
12.675	0.003251	3.4150943109112072201	0.884764853522485646	-3.013526079594632199
12.725	0.00337	3.3936634440353446996	0.8844517473449498365	-3.0351495422000153133
12.775	0.003499	3.3712702082244274079	0.8841499366733359546	-3.0573351482847068868
12.825	0.003634	3.3487027315793847753	0.88385929473762728524	-3.080152990539789639
12.875	0.003782	3.324905893516718764	0.88357973270310576444	-3.102198521156650453
12.925	0.003897	3.3070494387425151182	0.88330979244671985293	-3.1223969435483337504
12.975	0.004038	3.2858615593513376917	0.88304853713478305383	-3.1425828201301244831
