FRAME	TIME	PDF_AREA	FPT
2500	5e-10	15.813081264495849609	-0.0057698207855224609376
5000	1e-09	30.237633228302001953	-0.005548105144500732422
7500	1.5000000000000002e-09	43.55360698699951172	-0.0044401085853576660157
10000	2e-09	52.43817615509033203	-0.0036668822288513183593
12500	2.5e-09	61.888018131256103516	-0.0062827489852905273437
15000	3.0000000000000004e-09	83.85192108154296875	-0.009498357582092285156
17500	3.5000000000000003e-09	109.3798060417175293	-0.010246024131774902344
20000	4e-09	135.08204174041748047	-0.010024435329437255859
22500	4.500000000000001e-09	159.5019826889038086	-0.0103071041107177734375
25000	5e-09	186.61756229400634766	-0.010963505458831787109
27500	5.5000000000000004e-09	214.31950998306274414	-0.0110437183380126953124
30000	6.000000000000001e-09	241.83615398406982422	-0.056516779327392578126
32500	6.5e-09	496.90340662002563477	-0.07349191741943359375
35000	7.000000000000001e-09	609.29574108123779297	-0.028258901882171630859
37500	7.500000000000001e-09	638.19791603088378906	-0.0058405742645263671875
40000	8e-09	638.4986124038696289	-0.0021841396331787109374
42500	8.5e-09	649.11861419677734375	-0.0140424641609191894535
45000	9.000000000000001e-09	708.71093320846557617	-0.023601828384399414063
47500	9.5e-09	767.12775611877441406	-0.024799131488800048829
50000	1e-08	832.7065906524658203	-0.01759338674545288086
52500	1.0500000000000001e-08	855.09468984603881836	-0.011161248779296875
55000	1.1000000000000001e-08	888.5128345489501953	-0.020214913654327392579
57500	1.15e-08	956.16925811767578125	-0.023801393985748291015
60000	1.2000000000000002e-08	1007.5198044776916504	-0.022863774681091308594
62500	1.2500000000000001e-08	1070.4881315231323242	-0.025635628890991210938
65000	1.3e-08	1135.6979489326477051	-0.029448099994659423828
67500	1.3500000000000002e-08	1217.7286314964294434	-0.028196840572357177735
70000	1.4000000000000001e-08	1276.6821517944335938	-0.015241574764251708984
72500	1.45e-08	1293.9365053176879883	-0.0040115324020385742186
75000	1.5000000000000002e-08	1296.7398138046264648	-0.0007709089279174804687
77500	1.55e-08	1297.7910499572753906	-0.00045133209228515625
80000	1.6e-08	1298.9964742660522461	-0.00086341915130615234373
82500	1.6500000000000002e-08	1302.1081457138061523	-0.07069209890365600586
85000	1.7e-08	1652.4569687843322754	-0.07741926298141479492
87500	1.75e-08	1689.204460620880127	-0.0073494983673095703125
90000	1.8000000000000002e-08	1689.204460620880127	-0.026193860816955566406
92500	1.85e-08	1820.173764705657959	-0.035595679664611816407
95000	1.9e-08	1867.182858943939209	-0.00940181884765625
97500	1.9500000000000003e-08	1867.182858943939209	-0.0
100000	2e-08	1867.182858943939209	-0.0
102500	2.05e-08	1867.182858943939209	-0.0
105000	2.1000000000000003e-08	1867.182858943939209	-0.0
107500	2.15e-08	1867.182858943939209	-0.0
110000	2.2000000000000002e-08	1867.182858943939209	-0.0
112500	2.2500000000000003e-08	1867.182858943939209	-0.0
115000	2.3e-08	1867.182858943939209	-0.009021046066284179687
117500	2.3500000000000002e-08	1912.2880892753601074	-0.009509652328491210938
120000	2.4000000000000003e-08	1914.7311205863952637	-0.0034202440261840820312
122500	2.45e-08	1929.3893094062805176	-0.012360526275634765625
125000	2.5000000000000002e-08	1976.5337519645690918	-0.009735780906677246094
127500	2.5500000000000003e-08	1978.068213939666748	-0.00030689239501953125
130000	2.6e-08	1978.068213939666748	-0.000613787078857421875
132500	2.6500000000000002e-08	1981.1371493339538574	-0.0014092878341674804687
135000	2.7000000000000004e-08	1985.1146531105041504	-0.0053665973663330078126
137500	2.75e-08	2007.9701361656188965	-0.0045710966110229492186
140000	2.8000000000000003e-08	2007.9701361656188965	-0.0
142500	2.8500000000000004e-08	2007.9701361656188965	-0.0
145000	2.9e-08	2007.9701361656188965	-0.0
147500	2.9500000000000003e-08	2007.9701361656188965	-0.0
150000	3.0000000000000004e-08	2007.9701361656188965	-0.0
152500	3.05e-08	2007.9701361656188965	-0.0
155000	3.1e-08	2007.9701361656188965	-0.0
157500	3.1500000000000004e-08	2007.9701361656188965	-0.0
160000	3.2e-08	2007.9701361656188965	-0.0
