FRAME	TIME	PDF_AREA	FPT
2500	5e-10	0.0	-0.0
5000	1e-09	0.0	-0.0
7500	1.5000000000000002e-09	0.0	-0.0
10000	2e-09	0.0	-0.0
12500	2.5e-09	0.0	-0.0
15000	3.0000000000000004e-09	0.0	-0.0
17500	3.5000000000000003e-09	0.0	-0.0
20000	4e-09	0.0	-0.0
22500	4.500000000000001e-09	0.0	-0.0
25000	5e-09	0.0	-0.0
27500	5.5000000000000004e-09	0.0	-0.0
30000	6.000000000000001e-09	0.0	-0.0004355243682861328125
32500	6.5e-09	2.1776218414306640625	-0.011992718315124511719
35000	7.000000000000001e-09	59.963591575622558594	-0.023278389358520507812
37500	7.500000000000001e-09	118.569568634033203125	-0.024183637428283691406
40000	8e-09	180.88177871704101562	-0.018421673774719238282
42500	8.5e-09	210.67793750762939453	-0.0063036657333374023436
45000	9.000000000000001e-09	212.40010738372802734	-0.0003444339752197265625
47500	9.5e-09	212.40010738372802734	-0.0
50000	1e-08	212.40010738372802734	-0.0
52500	1.0500000000000001e-08	212.40010738372802734	-0.0
55000	1.1000000000000001e-08	212.40010738372802734	-0.0
57500	1.15e-08	212.40010738372802734	-0.0
60000	1.2000000000000002e-08	212.40010738372802734	-0.0
62500	1.2500000000000001e-08	212.40010738372802734	-0.0
65000	1.3e-08	212.40010738372802734	-0.0010861841201782226562
67500	1.3500000000000002e-08	217.83102798461914062	-0.0011730869293212890625
70000	1.4000000000000001e-08	218.26554203033447266	-0.0049478420257568359376
72500	1.45e-08	242.57023811340332031	-0.014927616119384765625
75000	1.5000000000000002e-08	292.90362262725830078	-0.020152978134155273437
77500	1.55e-08	343.3351287841796875	-0.020960329246520996094
80000	1.6e-08	397.70526885986328125	-0.020915472030639648437
82500	1.6500000000000002e-08	447.9124889373779297	-0.04552177410125732422
85000	1.7e-08	625.31413936614990234	-0.04160776805877685547
87500	1.75e-08	655.95132923126220703	-0.016034566879272460937
90000	1.8000000000000002e-08	705.48697376251220703	-0.025403545188903808594
92500	1.85e-08	782.96905517578125	-0.033371416282653808594
95000	1.9e-08	872.34405517578125	-0.024699338912963867188
97500	1.9500000000000003e-08	906.46574974060058594	-0.01492874603271484375
100000	2e-08	946.98778533935546875	-0.024014397621154785156
102500	2.05e-08	1026.5377378463745117	-0.032546830940246582032
105000	2.1000000000000003e-08	1109.7219400405883789	-0.030128034210205078125
107500	2.15e-08	1177.1779088973999023	-0.02688547496795654297
110000	2.2000000000000002e-08	1244.1493148803710938	-0.023602524566650390626
112500	2.2500000000000003e-08	1295.1905317306518555	-0.026094008445739746094
115000	2.3e-08	1374.6193571090698242	-0.022213419914245605468
117500	2.3500000000000002e-08	1406.2576313018798828	-0.019019307899475097656
120000	2.4000000000000003e-08	1469.7158966064453125	-0.023570207977294921876
122500	2.45e-08	1524.1086711883544922	-0.018865849876403808594
125000	2.5000000000000002e-08	1564.0451459884643555	-0.026356470298767089844
127500	2.5500000000000003e-08	1655.8910226821899414	-0.0368514068603515625
130000	2.6e-08	1748.302180290222168	-0.03283756866455078125
132500	2.6500000000000002e-08	1820.0788660049438477	-0.026941997337341308594
135000	2.7000000000000004e-08	1883.0121669769287109	-0.018672027969360351562
137500	2.75e-08	1913.4390058517456055	-0.01649955310821533203
140000	2.8000000000000003e-08	1965.5099325180053711	-0.01672164764404296875
142500	2.8500000000000004e-08	1997.0472440719604492	-0.01794922332763671875
145000	2.9e-08	2055.2560491561889648	-0.023057390022277832032
147500	2.9500000000000003e-08	2112.3341941833496094	-0.023545992469787597657
150000	3.0000000000000004e-08	2172.9860115051269531	-0.021720779037475585938
152500	3.05e-08	2220.938089370727539	-0.021490613937377929687
155000	3.1e-08	2280.4390811920166016	-0.022306306266784667969
157500	3.1500000000000004e-08	2332.469620704650879	-0.015304290962219238281
160000	3.2e-08	2356.960536003112793	-0.009796366119384765625
