# -------------- DOUBLE-WELL PMF FIT SAMPLES ----------------
# INPUT pmf file: data_exp/pmf-1.1.csv | x_column: X | pmf_column: PMF
# INPUT Thermal Energy (KbT): 0.59616108
# INPUT Spring constant (Ks): 10
# Double-Well PMF FIT Parameters => depth: -0.47824924762130355 | bias: -0.0022295192210032796 | x_offset: 6.245321225283189 | x_scale: 0.00898249911886888 | phi_offset: 0.3319092339969332 | phi_scale: 0.0774716572504885
# ----------------------------------------
X	PMF
-162.82528761783874	0.6528870287256714
-161.2418950646978	0.46956988389274906
-159.65850251155683	0.28888320715882143
-158.07510995841588	0.1108907892934654
-156.49171740527493	-0.06433733509196571
-154.90832485213394	-0.23672460631229034
-153.324932298993	-0.40618772159588534
-151.74153974585204	-0.5726364998669011
-150.15814719271108	-0.7359738508224508
-148.57475463957013	-0.8960958712302597
-146.99136208642918	-1.0528920920391438
-145.40796953328822	-1.2062458995109802
-143.82457698014724	-1.3560351518394738
-142.2411844270063	-1.5021330093191556
-140.65779187386534	-1.6444089908166615
-139.07439932072438	-1.7827302619185008
-137.49100676758343	-1.916963150677311
-135.90761421444248	-2.0469748755448127
-134.32422166130152	-2.172635457303682
-132.74082910816057	-2.2938197733013017
-131.15743655501961	-2.410409699015744
-129.57404400187863	-2.5222962701266596
-127.99065144873768	-2.6293817891089284
-126.40725889559673	-2.731581795168094
-124.82386634245577	-2.828826816139867
-123.24047378931482	-2.921063826443359
-121.65708123617387	-3.0082573464378664
-120.0736886830329	-3.09039013509364
-118.49029612989195	-3.167463448632927
-116.90690357675099	-3.2394968610872046
-115.32351102361002	-3.306527666566573
-113.74011847046907	-3.3686099053679017
-112.15672591732812	-3.4258130749462716
-110.57333336418716	-3.4782206007285015
-108.98994081104621	-3.52592814981617
-107.40654825790524	-3.5690418725114363
-105.82315570476429	-3.6076766526285353
-104.23976315162334	-3.6419544385741274
-102.65637059848237	-3.672002714400974
-101.07297804534142	-3.6979531548560605
-99.48958549220046	-3.7199404922653088
-97.90619293905951	-3.738101607205968
-96.32280038591855	-3.752574840377875
-94.73940783277759	-3.7634995106863847
-93.15601527963663	-3.771015614798806
-91.57262272649568	-3.7752636765707352
-89.98923017335471	-3.77638471076465
-88.40583762021376	-3.774520264219416
-86.8224450670728	-3.769812498754325
-85.23905251393185	-3.7624042831882707
-83.6556599607909	-3.752439266452342
-82.07226740764993	-3.740061909382178
-80.48887485450898	-3.725417458916532
-78.90548230136802	-3.70865185465952
-77.32208974822706	-3.689911563703078
-75.7386971950861	-3.6693433449430706
-74.15530464194515	-3.6470939486295726
-72.5719120888042	-3.623309760426322
-70.98851953566324	-3.598136401756054
-69.40512698252228	-3.5717182996910273
-67.82173442938132	-3.544198240187176
-66.23834187624037	-3.515716918177945
-64.6549493230994	-3.486412497092373
-63.07155676995845	-3.4564201889082287
-61.488164216817495	-3.4258718640620014
-59.90477166367654	-3.3948956985693584
-58.32137911053559	-3.363615863698596
-56.73798655739462	-3.3321522615974697
-55.15459400425367	-3.300620308485455
-53.571201451112714	-3.2691307654474255
-51.987808897971746	-3.23778961553507
-50.40441634483079	-3.206697984812397
-48.82102379168984	-3.1759521041679357
-47.237631238548886	-3.1456433081426987
-45.65423868540793	-3.1158580666650972
-44.070846132266965	-3.086678045412188
-42.48745357912601	-3.058180190499313
-40.90406102598506	-3.030436833305803
-39.32066847284409	-3.00351581144342
-37.73727591970314	-2.977480602139784
-36.153883366562184	-2.9523904646179484
-34.57049081342123	-2.928300588386134
-32.98709826028028	-2.9052622446923917
-31.403705707139324	-2.8833229387355677
-29.82031315399837	-2.8625265605468324
-28.23692060085739	-2.842913532758948
-26.653528047716435	-2.824520953758826
-25.07013549457548	-2.8073827349705547
-23.486742941434528	-2.7915297312397964
-21.903350388293575	-2.7769898634864623
-20.31995783515262	-2.763788232961902
-18.736565282011668	-2.7519472265908487
-17.153172728870686	-2.7414866129991724
-15.569780175729733	-2.732423628928146
-13.98638762258878	-2.7247730558166765
-12.402995069447826	-2.718547286397221
-10.819602516306873	-2.7137563812010117
-9.23620996316592	-2.7104081149060733
-7.652817410024966	-2.708508012489377
-6.069424856884012	-2.7080593751644115
-4.486032303743059	-2.70906329609937
-2.902639750602077	-2.71151866592092
-1.3192471974611237	-2.7154221680159876
0.26414535567982966	-2.7207682636508563
1.847537908820783	-2.727549166934975
3.4309304619617365	-2.7357548096679656
5.01432301510269	-2.7453727961241428
6.597715568243643	-2.756388347851421
8.181108121384625	-2.7687842385925907
9.764500674525578	-2.7825407194786953
11.347893227666532	-2.7976354346987256
12.931285780807485	-2.8140433279192028
14.514678333948439	-2.8317365398137504
16.098070887089392	-2.8506842971686077
17.681463440230345	-2.8708527941574036
19.2648559933713	-2.8922050665294132
20.848248546512252	-2.9147008596316746
22.431641099653234	-2.9382964913879306
24.015033652794187	-2.9629447115871397
25.59842620593514	-2.9885945590907412
27.181818759076094	-3.0151912188495893
28.765211312217048	-3.0426758809252106
30.348603865358	-3.0709856040307337
31.931996418498954	-3.1000531864369827
33.515388971639936	-3.1298070474183883
35.09878152478089	-3.1601711227281264
36.68217407792184	-3.191064777875019
38.265566631062796	-3.2224027432054276
39.84895918420375	-3.2540950749472133
41.4323517373447	-3.286047146421787
43.01574429048566	-3.318159673543863
44.59913684362661	-3.350328778474823
46.18252939676756	-3.382446094842833
47.765921949908545	-3.4143989172622993
49.3493145030495	-3.4460703969537505
50.93270705619045	-3.477339784069264
52.516099609331405	-3.5080827158679284
54.09949216247236	-3.5381715481781746
55.68288471561331	-3.5674757256682157
