# -------------- DOUBLE-WELL PMF FIT SAMPLES ----------------
# INPUT pmf file: data_exp/pmf-2.1.csv | x_column: X | pmf_column: PMF
# INPUT Thermal Energy (KbT): 0.59616108
# INPUT Spring constant (Ks): 10
# Double-Well PMF FIT Parameters => depth: -0.44057585566843754 | bias: 0.03231740791361949 | x_offset: -5.155731642069352 | x_scale: 0.010065801152366797 | phi_offset: 0.04978744416726795 | phi_scale: 0.11030712002902043
# ----------------------------------------
X	PMF
-125.6368003437598	0.3764753715431335
-124.38807333086126	0.2241124417258809
-123.13934631796272	0.07355059428177495
-121.89061930506418	-0.07519661657911293
-120.64189229216564	-0.22211440650545566
-119.39316527926708	-0.3671866370535561
-118.14443826636854	-0.5103956771174981
-116.89571125347	-0.6517222477393881
-115.64698424057146	-0.7911452480842194
-114.39825722767291	-0.928641560164357
-113.14953021477437	-1.064185829731527
-111.90080320187583	-1.1977502206421
-110.65207618897728	-1.3293041399739463
-109.40334917607873	-1.4588139312676114
-108.15462216318019	-1.5862425335264771
-106.90589515028165	-1.711549104095635
-105.65716813738311	-1.834688604312099
-104.40844112448457	-1.9556113479545716
-103.15971411158603	-2.0742625141020983
-101.91098709868749	-2.1905816281255572
-100.66226008578894	-2.30450201727337
-99.4135330728904	-2.4159502507539856
-98.16480605999185	-2.5248455784261834
-96.9160790470933	-2.6310993872120347
-95.66735203419476	-2.734614700120499
-94.41862502129622	-2.835285749203769
-93.16989800839768	-2.932997660644634
-91.92117099549912	-3.027626297127077
-90.67244398260058	-3.119038309134382
-89.42371696970204	-3.2070914521102103
-88.1749899568035	-3.291635229565214
-86.92626294390496	-3.3725119220921127
-85.67753593100642	-3.4495580576315557
-84.42880891810788	-3.52260636798852
-83.18008190520933	-3.591488259515312
-81.9313548923108	-3.6560368014788125
-80.68262787941225	-3.7160902040725134
-79.43390086651371	-3.771495720471587
-78.18517385361515	-3.822113866108668
-76.93644684071661	-3.8678228070395515
-75.68771982781807	-3.9085227324654
-74.43899281491953	-3.9441399993133093
-73.19026580202099	-3.9746308241798096
-71.94153878912243	-3.9999843037330782
-70.69281177622389	-4.020224570677678
-69.44408476332535	-4.035411937799939
-68.19535775042681	-4.045642943782875
-66.94663073752827	-4.051049285279967
-65.69790372462973	-4.051795692459339
-64.44917671173118	-4.048076871842565
-63.20044969883264	-4.040113693741559
-61.951722685934094	-4.028148837025773
-60.70299567303556	-4.012442119151689
-59.454268660137004	-3.9932657349785847
-58.20554164723846	-3.970899606847161
-56.95681463433992	-3.9456270152267017
-55.70808762144138	-3.917730639085376
-54.45936060854284	-3.8874890929392616
-53.210633595644296	-3.855174007396878
-51.961906582745755	-3.8210476648859477
-50.7131795698472	-3.7853611738457973
-49.46445255694866	-3.7483531436056508
-48.215725544050116	-3.710248808198005
-46.966998531151575	-3.6712595396504004
-45.71827151825303	-3.6315826887188845
-44.46954450535449	-3.5914016923372905
-43.22081749245595	-3.5508863910805717
-41.97209047955741	-3.510193505652228
-40.72336346665887	-3.4694672279741425
-39.47463645376031	-3.4288398892528855
-38.22590944086177	-3.3884326739764363
-36.97718242796323	-3.348356354873701
-35.72845541506469	-3.3087120292851018
-34.479728402166145	-3.2695918420784285
-33.231001389267604	-3.2310796841975553
-31.982274376369062	-3.193251859192645
-30.733547363470507	-3.1561777127140327
-29.484820350571965	-3.1199202220347177
-28.236093337673424	-3.08453654427815
-26.987366324774882	-3.0500785232455048
-25.73863931187634	-3.0165931556305123
-24.4899122989778	-2.9841230180427143
-23.241185286079258	-2.9527066566856326
-21.992458273180716	-2.9223789418003854
-20.743731260282175	-2.8931713891254507
-19.49500424738362	-2.865112450670213
-18.246277234485078	-2.8382277770785276
-16.997550221586536	-2.812540453788054
-15.748823208687995	-2.7880712130870866
-14.500096195789453	-2.764838624044564
-13.251369182890912	-2.7428592621498593
-12.00264216999237	-2.7221478603534672
-10.753915157093815	-2.7027174430524985
-9.505188144195273	-2.684579444419476
-8.256461131296732	-2.667743812331482
-7.00773411839819	-2.652219099020785
-5.759007105499649	-2.6380125394383303
-4.510280092601107	-2.625130118198445
-3.2615530797025656	-2.6135766258565907
-2.012826066804024	-2.6033557051618033
-0.7640990539054826	-2.5944698878212
0.4846279589930731	-2.5869206222148713
1.7333549718916146	-2.580708292405183
2.982081984790142	-2.57583222869408
4.230808997688683	-2.572290709894917
5.479536010587253	-2.5700809574007244
6.728263023485795	-2.5691991210481393
7.976990036384336	-2.569640256694709
9.225717049282878	-2.5713982953463836
10.47444406218142	-2.574466003591153
11.72317107507996	-2.578834935013507
12.971898087978502	-2.5844953721823676
14.220625100877044	-2.591436258722069
15.469352113775585	-2.5996451208918785
16.718079126674127	-2.609107978014494
17.966806139572668	-2.61980924100846
19.21553315247121	-2.63173159819416
20.46426016536975	-2.6448558874592867
21.712987178268293	-2.6591609537890375
22.961714191166834	-2.674623491091246
24.210441204065404	-2.6912178671804035
25.459168216963945	-2.7089159307312594
26.707895229862487	-2.7276867989778943
27.95662224276103	-2.7474966249247736
29.20534925565957	-2.768308342861026
30.45407626855811	-2.7900813910388087
31.702803281456653	-2.8127714105043755
32.951530294355194	-2.8363299192722398
34.200257307253736	-2.8607039613276792
35.44898432015228	-2.8858357303529667
36.69771133305082	-2.9116621686238418
37.94643834594936	-2.938114542243762
39.1951653588479	-2.9651179948061
40.44389237174644	-2.992591082732377
41.692619384644985	-3.0204452969616757
42.941346397543526	-3.0485845773943714
44.19007341044207	-3.076904828548101
45.43880042334064	-3.1052934472805824
46.68752743623918	-3.133628876170121
47.93625444913772	-3.161780199192364
49.18498146203626	-3.1896067996269144
50.433708474934804	-3.2169581035590586
51.682435487833345	-3.243673435739546
52.93116250073189	-3.2695820176894426
54.17988951363043	-3.294503140469401
55.42861652652897	-3.318246546076159
56.67734353942751	-3.3406130515149606
57.92607055232605	-3.3613954477075176
59.174797565224594	-3.3803797010048964
60.423524578123136	-3.397346477710156
61.67225159102168	-3.4120730013375935
62.92097860392022	-3.4243352382372523
64.16970561681879	-3.433910389922638
65.41843262971733	-3.44057965060981
66.66715964261587	-3.444131167240999
67.91588665551441	-3.444363118235355
69.16461366841295	-3.441086808380281
