#  ------------- Effect of Ks: Sp and PMF_RE ----------------
# INPUT TAG: SIMULATION-2.2 | param-file: "data_sim/pmf_fit/sp_traj-2.2.params.txt"
# INPUT fit-params => depth: -0.4998241048936946, bias: -4.516879560038931e-05, x_offset: -32.48348797109661, x_scale: 0.1847490231947087, phi_offset: 0.2341367476211293, phi_scale: 0.387206324456592
# INPUT KbT: 0.59616108
# INPUT Ks values: [ 4  6  8 10]
# -----------------------------------------------
X1	SP1	PMF_RE1	X2	SP2	PMF_RE2	X3	SP3	PMF_RE3	X4	SP4	PMF_RE4
33.54135735240987	0.31855781240630226536	1.1229847566182206312	33.46185614421742	0.30810386454668692302	1.3880594327222231982	33.46185614421742	0.29011621768374412644	1.6003034998592791716	33.46185614421742	0.2752915209941996788	1.7872703056244052259
33.620858560602315	0.30582969083668237742	1.1087330566786716131	33.54135735240987	0.29400659302866560818	1.3715468276477158188	33.54135735240987	0.27521856354758172936	1.5810410583748336201	33.54135735240987	0.25978407063795216914	1.7655862275783708188
33.70035976879477	0.29341272321129518996	1.0934963365186643431	33.620858560602315	0.2803088146045136786	1.3538111824082537637	33.620858560602315	0.26081203695571919532	1.5603699655516591238	33.620858560602315	0.24485078571190246888	1.7423300352861367762
33.779860976987216	0.28131911827321420816	1.0772940743584316834	33.70035976879477	0.2670262600712197676	1.3348746796466232943	33.70035976879477	0.2469130524999097187	1.5383161599338918439	33.70035976879477	0.23050796212975804833	1.7175309735040580087
33.85936218517966	0.26955932000341820132	1.0601475923076580175	33.779860976987216	0.25417201884295209657	1.3147616735031354611	33.779860976987216	0.23353450137766032513	1.5149081034488115756	33.779860976987216	0.21676752056209086517	1.691221120111574874
33.93886339337211	0.25814200239194134978	1.04208015129275985	33.85936218517966	0.24175654655617301314	1.293498801416102718	33.85936218517966	0.22068580528822953624	1.4901769114413375646	33.85936218517966	0.20363712086422650072	1.6634355321940364829
34.018364601564556	0.24707407986871615657	1.0231170500469818847	33.93886339337211	0.22978769978899182824	1.2711151016115067486	33.93886339337211	0.20837300854814394535	1.4641564891537535587	33.93886339337211	0.19112032544564985792	1.6342123992368557128
34.09786580975701	0.23636073268222104748	1.0032857272346529452	34.018364601564556	0.21827079622634193434	1.2476421353411677804	34.018364601564556	0.19659890507327601461	1.4368836735298461697	34.018364601564556	0.17921680607027398735	1.6035932021518515064
34.17736701794946	0.22600544634105718123	0.98261586554525535335	34.09786580975701	0.20720869826810869863	1.2231141126727885317	34.09786580975701	0.18536319641387788426	1.4083983789209405943	34.09786580975701	0.16792258802778517457	1.5716228765147740548
34.256868226141904	0.21601006408124767688	0.96113949632088498934	34.17736701794946	0.19660191779638586107	1.1975680203367489592	34.17736701794946	0.17466267667556228949	1.378743744920237444	34.17736701794946	0.15723032524474298	1.5383499779954590129
