#  ------------- Effect of Ks: Imposed PMF ----------------
# INPUT TAG: SIMULATION-2.2 | param-file: "data_sim/pmf_fit/sp_traj-2.2.params.txt"
# INPUT fit-params => depth: -0.4998241048936946, bias: -4.516879560038931e-05, x_offset: -32.48348797109661, x_scale: 0.1847490231947087, phi_offset: 0.2341367476211293, phi_scale: 0.387206324456592
# INPUT KbT: 0.59616108
# INPUT Ks values: [ 4  6  8 10]
# -----------------------------------------------
X	PMF_IM1	PMF_IM2	PMF_IM3	PMF_IM4
24.637222034855647	0.6300098755298897	0.7503972300856685	0.8520880312085597	0.9417728087348995
24.716723243048094	0.558199793384375	0.6641776114667097	0.7537179176588251	0.8326965922325433
24.796224451240544	0.4923916112838025	0.5852793964198308	0.6637789262066915	0.7330279044710242
24.87572565943299	0.43245535511932154	0.513523265407408	0.582050376022186	0.6425097469892913
24.95522686762544	0.3781935441578643	0.4486494811657471	0.5082204032407047	0.5607845088564476
25.03472807581789	0.32935024507526145	0.3903297895275888	0.4419002240391552	0.4874102923545851
25.11422928401034	0.28562255304106343	0.33818198025483537	0.38264124948031597	0.42188025762224424
25.193730492202786	0.24667337565528213	0.2917857164982862	0.3299534420250252	0.363643186525787
25.273231700395232	0.21214441031385745	0.25069830637189106	0.2833234092497161	0.31212360680444506
25.352732908587683	0.18166836629204774	0.21446931951231196	0.24223101538178327	0.2667401505985425
25.43223411678013	0.15487973377693898	0.18265327377214402	0.2061636714531203	0.22692125163349974
25.51173532497258	0.131423682787416	0.15481995993531772	0.17462785817089488	0.19211772238972857
25.591236533165027	0.11096293537065649	0.130562279016897	0.14715778022708248	0.16181213020886753
25.670737741357478	0.09318266291972366	0.10950170407172166	0.12332131217002873	0.1355251737522667
25.750238949549924	0.07779360410448177	0.09129163563014542	0.10272356475282818	0.11281944034844704
25.82974015774237	0.06453367976625568	0.07561900260210397	0.08500848542949546	0.09330101154551595
25.90924136593482	0.05316841017064644	0.06220448373377785	0.06985892557392592	0.07661939952953434
25.98874257412727	0.04349043174535461	0.05080170647089588	0.05699558088029999	0.06246626424439805
26.06824378231972	0.035318379009236844	0.041195737171921376	0.046175159214507655	0.05057330087210099
26.147744990512166	0.02849535450766494	0.033201122441079534	0.03718806678870834	0.04070961593684874
26.227246198704616	0.022887163679001565	0.026659685370614472	0.029855839220898517	0.03267883872536226
26.306747406897063	0.01838044810245143	0.02143822854276145	0.024028485057781435	0.02631614956425432
26.386248615089514	0.014880812462451765	0.017426250766911178	0.019581858796375418	0.021485350970717576
26.46574982328196	0.012311008983700411	0.014533747765410165	0.016415139304199133	0.018076062699460493
26.545251031474407	0.010609218085453564	0.01268913819430395	0.014448457463085873	0.01600108675968759
26.624752239666858	0.009727444982138067	0.011837334654777987	0.013620692813541169	0.015193962369687508
26.704253447859305	0.009630038044319056	0.011937963608453561	0.0138874416569843	0.015606712091357444
26.783754656051755	0.01029232499414423	0.012963727217831789	0.015219147178795023	0.017207767594714873
26.863255864244202	0.011699356572638653	0.014898893058303386	0.017599374515902877	0.019980055353876924
26.942757072436653	0.013844743438320428	0.01773789351920385	0.021023209330932158	0.023919217999592846
27.0222582806291	0.016729570136183147	0.02148401483223994	0.025495756594528185	0.029031945202099507
27.10175948882155	0.02036136954790413	0.0261481555025167	0.0310307163257475	0.03533438818716883
27.181260697013997	0.0247531419494047	0.03174763507209377	0.03764901455680558	0.04285063381920917
27.260761905206444	0.029922404403487368	0.038305036325338104	0.045377470448239254	0.051611217265306486
27.340263113398894	0.03589025851174976	0.045847067029263666	0.05424748403873991	0.061651656315826475
27.41976432159134	0.04268046739145537	0.05440343091488664	0.06429373337241939	0.07301099526225574
27.49926552978379	0.050318535999625214	0.06400570169081776	0.07555287452524784	0.08573035162098108
27.57876673797624	0.058830792470949245	0.0746861982799909	0.08806224316807398	0.09985146473555995
27.658267946168685	0.06824347183039836	0.08647686401133114	0.10185856155230377	0.11541525115942841
27.737769154361136	0.0785818071296649	0.09940815698327388	0.11697665995462625	0.132460377454096
27.817270362553582	0.08986913656262652	0.11350796302446486	0.13344822641051612	0.15102186634300985
27.896771570746033	0.10212603824687205	0.12880054637035965	0.15130060272566537	0.17112975672786002
27.97627277893848	0.11536950691780778	0.14530555611086848	0.17055564800190037	0.19280784159214726
