# ------------------ Effect of Ks on Reconstructed-PMF ----------------
# INPUT TAG: DEMO-SYMMETRIC | param-file: "results-theory/demo/demo-symm.params.txt"
# INPUT KbT: 0.59616108
# INPUT Ks: 2.9808054  (5.0000 KbT/[x]^2)
# INPUT fit-params => depth: -0.44, bias: 0.0, x_offset: 0.0, x_scale: 0.1, phi_offset: 0.0, phi_scale: 1.0
# -----------------------------------------------
X	SP	PMF_RE
-6.153333314680848	0.8863614604023463128	-1.9766633029874249001
-6.1190529062425085	0.88511161006805383344	-1.9717703068785506084
-6.084772497804167	0.8838514782409140347	-1.9668953532492771587
-6.050492089365827	0.88258101902713714804	-1.9620386600133952182
-6.016211680927487	0.8813001872529507841	-1.9572004418201797022
-5.981931272489145	0.8800089384789713254	-1.9523809101010786371
-5.9476508640508055	0.8787072290145743203	-1.9475802731157170215
-5.913370455612464	0.8773950159322536635	-1.9427987359960772096
-5.879090047174124	0.8760722570819697852	-1.9380365007922209048
-5.844809638735784	0.8747389111054806321	-1.9332937665156720132
-5.810529230297442	0.87339493745064999963	-1.9285707291829078281
-5.776248821859102	0.872040296385729663	-1.9238675818589664085
-5.741968413420761	0.8706749490136111991	-1.9191845146992202099
-5.707688004982421	0.8692988572860410601	-1.9145217149917330084
-5.673407596544081	0.8679119840177950129	-1.9098793671983659917
-5.639127188105739	0.86651429290080839163	-1.9052576529955574209
-5.604846779667399	0.8651057485182546136	-1.9006567513152520754
-5.570566371229058	0.86368631635857173734	-1.8960768383838768549
-5.536285962790718	0.8622559628294256262	-1.8915180877620141729
-5.502005554352378	0.86081465527161127316	-1.8869806703831770778
-5.467725145914036	0.8593623619728845142	-1.882464754591963077
-5.433444737475696	0.85789905218171924606	-1.8779705061817909827
-5.3991643290373545	0.85642469612098426346	-1.8734980884317742161
-5.364883920599015	0.8549392650015387174	-1.8690476621440472484
-5.330603512160675	0.85344273103573620176	-1.8646193856793966365
-5.296323103722333	0.85193506745083691367	-1.8602134149930297816
-5.262042695283993	0.8504162485023193385	-1.8558299036701419996
-5.2277622868456515	0.84888624948709012763	-1.8514690029599633204
-5.193481878407312	0.8473450467565830646	-1.8471308618106080972
-5.159201469968972	0.8457926177297470094	-1.8428156269024638861
-5.12492106153063	0.8442289409059131611	-1.8385234426811938948
-5.09064065309229	0.84265399587753953003	-1.8342544513911007417
-5.056360244653948	0.8410677633428276234	-1.8300087931068708655
-5.0220798362156085	0.8394702251182051267	-1.8257866057657751937
-4.987799427777269	0.83786136415066991834	-1.8215880251986043371
-4.953519019338927	0.8362411645299909768	-1.8174131851609702736
-4.919238610900587	0.8346096115007629601	-1.8132622173637002875
-4.884958202462245	0.83296669147430379976	-1.809135251502404492
-4.850677794023905	0.831312392040398751	-1.8050324152876587224
-4.8163973855855655	0.82964670197887768754	-1.8009538344737125172
-4.782116977147224	0.82796961127102841616	-1.7968996328871435766
-4.747836568708884	0.82628111111083346607	-1.7928699324553235306
-4.713556160270542	0.82458119391603290627	-1.7888648532340466831
-4.679275751832202	0.8228698533390034209	-1.7848845134351887342
-4.644995343393862	0.8211470842774506451	-1.7809290294532786414
-4.610714934955521	0.81941288288490932157	-1.7769985158923894476
-4.576434526517181	0.8176672465810493895	-1.7730930855922579304
-4.542154118078839	0.8159101740617766829	-1.769212849653806283
-4.507873709640499	0.8141416653091337885	-1.765357917464998991
-4.473593301202159	0.81236172160098485406	-1.761528396725251921
-4.439312892763818	0.81057034552049000986	-1.75772439347029599
-4.405032484325478	0.80876754096535763416	-1.7539460120964543403
-4.370752075887136	0.80695331315687424123	-1.7501933553841884126
-4.336471667448796	0.80512766864870588535	-1.7464665245219053576
-4.302191259010456	0.80329061533546652907	-1.742765619128677353
-4.267910850572115	0.8014421624610496009	-1.7390907372771570571
-4.233630442133775	0.79958232062671941165	-1.7354419755159412573
-4.199350033695433	0.7977111017989542141	-1.7318194288913342629
-4.165069625257093	0.79582851931704390314	-1.7282231909694072621
-4.130789216818753	0.79393458790042947815	-1.7246533538568330386
-4.0965088083804115	0.7920293236557881533	-1.7211100082221191629
-4.062228399942072	0.790112744083855012	-1.7175932433163532965
-4.02794799150373	0.78818486808597953974	-1.7141031469929876829
-3.99366758306539	0.7862457159704115961	-1.710639805728305117
-3.95938717462705	0.7842953094583154927	-1.7072033046408197249
-3.9251067661887085	0.7823336716895058496	-1.7037937275106013553
-3.8908263577503686	0.7803608272279040081	-1.7004111567983361705
-3.856545949312027	0.7783768020667073406	-1.6970556736638098645
-3.822265540873687	0.7763816236332750087	-1.6937273579846539251
-3.7879851324353453	0.7743753207937177363	-1.690426288374003807
-3.7537047239970054	0.7723579238571979255	-1.6871525421986467423
-3.7194243155586655	0.77032946457992679257	-1.6839061955961405177
-3.685143907120324	0.76828997616886496314	-1.680687323492268529
-3.650863498681984	0.7662394932851164242	-1.6774959996178721428
-3.616583090243642	0.76417805204701549915	-1.6743322965253660133
-3.5823026818053023	0.762105690032905736	-1.6711962856052490894
-3.5480222733669624	0.760022446283602493	-1.6680880371018969354
-3.5137418649286207	0.75792836130454321886	-1.66500762012966167
-3.479461456490281	0.7558234770676185432	-1.6619551026883178552
-3.445181048051939	0.75370783701268107	-1.6589305516779560138
-3.4109006396135992	0.75158148604873264986	-1.6559340329145593085
-3.3766202311752593	0.7494444705547858021	-1.652965611144339548
-3.3423398227369177	0.74729683838039639987	-1.6500253500583030785
-3.3080594142985777	0.7451386388458680621	-1.6471133123066034653
-3.273779005860236	0.74296992274212170226	-1.644229559512329835
-3.239498597421896	0.7407907423302352301	-1.6413741522855030932
-3.2052181889835563	0.7386011513406425255	-1.6385471502362805287
-3.1709377805452146	0.73640120497199923477	-1.6357486119885095976
-3.1366573721068747	0.7341909598897073952	-1.6329785951926444721
-3.102376963668533	0.7319704742240985551	-1.6302371565384163142
-3.068096555230193	0.7297398075682773877	-1.6275243517677556536
-3.033816146791853	0.7274990209756193593	-1.6248402356867112313
-2.9995357383535115	0.7252481769569247838	-1.6221848621778888173
-2.9652553299151716	0.7229873394772289297	-1.6195582842124430516
-2.93097492147683	0.7207165739522625181	-1.6169605538613951755
-2.89669451303849	0.7184359472445677186	-1.6143917223075057609
-2.86241410460015	0.7161455276592635366	-1.6118518398563391301
-2.8281336961618084	0.713845384939464922	-1.6093409559474208041
-2.7938532877234685	0.7115355902613512695	-1.6068591191652292068
