# ------------------ First Passage Time Distribution -----------------
TIME	FPTD
2.009e-10	0.000109815
2.109091091091091e-10	0.23189681
2.2091821821821822e-10	0.23078051
2.3092732732732732e-10	0.2296701
2.4093643643643645e-10	0.22856111
2.5094554554554557e-10	0.22746247
2.6095465465465465e-10	0.22636961
2.7096376376376377e-10	0.22528252
2.809728728728729e-10	0.22420115
2.90981981981982e-10	0.22312548
3.009910910910911e-10	0.22205547
3.110002002002002e-10	0.2209911
3.210093093093093e-10	0.21993234
3.310184184184184e-10	0.21887915
3.4102752752752754e-10	0.21783152
3.5103663663663667e-10	0.2167894
3.6104574574574574e-10	0.21575277
3.710548548548548e-10	0.2147216
3.8106396396396394e-10	0.21369586
3.9107307307307307e-10	0.21267553
4.010821821821822e-10	0.21166057
4.110912912912913e-10	0.21065096
4.211004004004004e-10	0.20964667
4.3110950950950946e-10	0.20864766
4.411186186186186e-10	0.20765392
4.511277277277277e-10	0.20666541
4.6113683683683684e-10	0.20568211
4.71145945945946e-10	0.20470399
4.81155055055055e-10	0.20373103
4.911641641641641e-10	0.20276319
5.011732732732732e-10	0.20180044
5.111823823823824e-10	0.20084277
5.211914914914915e-10	0.19989014
5.312006006006006e-10	0.19894253
5.412097097097096e-10	0.19799991
5.512188188188188e-10	0.19706226
5.612279279279279e-10	0.19612955
5.71237037037037e-10	0.19520175
5.812461461461461e-10	0.19427884
5.912552552552553e-10	0.19336079
6.012643643643643e-10	0.19244757
6.112734734734734e-10	0.19153917
6.212825825825825e-10	0.19063555
6.312916916916917e-10	0.18973669
6.413008008008008e-10	0.18884257
6.513099099099099e-10	0.18795315
6.613190190190189e-10	0.18706843
6.713281281281281e-10	0.18618836
6.813372372372372e-10	0.18531293
6.913463463463463e-10	0.18444211
7.013554554554553e-10	0.18357587
7.113645645645645e-10	0.1827142
7.213736736736736e-10	0.18185707
7.313827827827827e-10	0.18100445
7.413918918918918e-10	0.18015633
7.51401001001001e-10	0.17931267
7.6141011011011e-10	0.17847346
7.714192192192191e-10	0.17763867
7.814283283283282e-10	0.17680827
7.914374374374374e-10	0.17598225
8.014465465465465e-10	0.17516059
8.114556556556556e-10	0.17434324
8.214647647647646e-10	0.17353021
8.314738738738737e-10	0.17272145
8.414829829829829e-10	0.17191696
8.51492092092092e-10	0.17111671
8.615012012012011e-10	0.17032067
8.715103103103101e-10	0.16952882
8.815194194194193e-10	0.16874115
8.915285285285284e-10	0.16795762
9.015376376376375e-10	0.16717823
9.115467467467466e-10	0.16640293
9.215558558558558e-10	0.16563173
9.31564964964965e-10	0.16486458
9.41574074074074e-10	0.16410147
9.515831831831831e-10	0.16334239
9.615922922922923e-10	0.1625873
9.716014014014014e-10	0.16183619
9.816105105105105e-10	0.16108904
9.916196196196194e-10	0.16034583
1.0016287287287288e-09	0.15960653
1.0116378378378377e-09	0.15887112
1.021646946946947e-09	0.15813959
1.031656056056056e-09	0.15741191
1.0416651651651653e-09	0.15668806
1.0516742742742742e-09	0.15596803
1.0616833833833833e-09	0.15525179
1.0716924924924924e-09	0.15453932
1.0817016016016016e-09	0.15383061
1.0917107107107107e-09	0.15312563
1.1017198198198198e-09	0.15242436
1.1117289289289287e-09	0.15172679
1.121738038038038e-09	0.15103289
1.131747147147147e-09	0.15034264
1.1417562562562563e-09	0.14965603
1.1517653653653652e-09	0.14897305
1.1617744744744746e-09	0.14829365
1.1717835835835835e-09	0.14761784
1.1817926926926926e-09	0.14694559
1.1918018018018017e-09	0.14627687
1.2018109109109109e-09	0.14561168
1.21182002002002e-09	0.14494999
1.2218291291291291e-09	0.14429179
1.2318382382382382e-09	0.14363706
1.2418473473473474e-09	0.14298578
1.2518564564564563e-09	0.14233793
1.2618655655655656e-09	0.14169349
1.2718746746746745e-09	0.14105244
1.2818837837837839e-09	0.14041477
1.2918928928928928e-09	0.13978046
1.3019020020020021e-09	0.13914949
1.311911111111111e-09	0.13852185
1.3219202202202202e-09	0.13789751
1.3319293293293293e-09	0.13727646
1.3419384384384384e-09	0.13665868
1.3519475475475475e-09	0.13604415
1.3619566566566567e-09	0.13543287
1.3719657657657656e-09	0.1348248
1.381974874874875e-09	0.13421993
1.3919839839839838e-09	0.13361826
1.4019930930930932e-09	0.13301975
1.412002202202202e-09	0.13242439
1.4220113113113114e-09	0.13183217
1.4320204204204203e-09	0.13124308
1.4420295295295295e-09	0.13065708
1.4520386386386386e-09	0.13007417
1.4620477477477477e-09	0.12949433
1.4720568568568568e-09	0.12891755
1.482065965965966e-09	0.1283438
1.4920750750750749e-09	0.12777308
1.5020841841841842e-09	0.12720536
1.5120932932932931e-09	0.12664063
1.5221024024024025e-09	0.12607888
1.5321115115115114e-09	0.12552009
1.5421206206206205e-09	0.12496424
1.5521297297297296e-09	0.12441132
1.5621388388388387e-09	0.12386131
1.5721479479479479e-09	0.1233142
1.582157057057057e-09	0.12276997
1.5921661661661663e-09	0.12222861
1.6021752752752753e-09	0.1216901
1.6121843843843842e-09	0.12115442
1.6221934934934935e-09	0.12062157
1.6322026026026024e-09	0.12009153
1.6422117117117118e-09	0.11956427
1.6522208208208207e-09	0.11903979
1.6622299299299298e-09	0.11851809
1.6722390390390391e-09	0.11799912
1.682248148148148e-09	0.11748289
1.6922572572572574e-09	0.11696937
1.7022663663663663e-09	0.11645857
1.7122754754754756e-09	0.11595045
1.7222845845845845e-09	0.11544501
1.7322936936936935e-09	0.11494224
1.7423028028028028e-09	0.11444211
1.752311911911912e-09	0.11394461
1.762321021021021e-09	0.11344974
1.7723301301301302e-09	0.11295748
1.782339239239239e-09	0.11246781
1.7923483483483484e-09	0.11198071
1.8023574574574573e-09	0.11149618
1.8123665665665667e-09	0.11101421
1.8223756756756756e-09	0.11053477
1.8323847847847847e-09	0.11005786
1.8423938938938938e-09	0.10958346
1.852403003003003e-09	0.10911156
1.862412112112112e-09	0.10864215
1.872421221221221e-09	0.10817521
1.8824303303303305e-09	0.10771073
1.8924394394394393e-09	0.10724869
1.9024485485485484e-09	0.10678909
1.9124576576576575e-09	0.10633191
1.9224667667667666e-09	0.10587714
1.9324758758758758e-09	0.10542476
1.942484984984985e-09	0.10497477
1.952494094094094e-09	0.10452715
1.962503203203203e-09	0.10408188
1.9725123123123123e-09	0.10363897
1.9825214214214214e-09	0.10319838
1.9925305305305305e-09	0.10276011
2.0025396396396396e-09	0.10232415
2.0125487487487488e-09	0.10189049
2.022557857857858e-09	0.10145912
2.0325669669669666e-09	0.10103002
2.0425760760760757e-09	0.10060317
2.0525851851851853e-09	0.10017858
2.0625942942942944e-09	0.099756227
2.072603403403403e-09	0.099336093
2.0826125125125122e-09	0.098918173
2.0926216216216214e-09	0.098502453
2.102630730730731e-09	0.098088927
2.1126398398398396e-09	0.097677573
2.1226489489489487e-09	0.097268393
2.132658058058058e-09	0.096861367
2.142667167167167e-09	0.09645648
2.152676276276276e-09	0.096053733
2.1626853853853852e-09	0.0956531
2.1726944944944944e-09	0.095254587
2.1827036036036035e-09	0.094858167
2.192712712712712e-09	0.094463833
2.2027218218218213e-09	0.09407158
2.212730930930931e-09	0.093681393
2.22274004004004e-09	0.09329326
2.2327491491491487e-09	0.092907173
2.242758258258258e-09	0.09252312
2.252767367367367e-09	0.092141087
2.2627764764764765e-09	0.091761067
2.272785585585585e-09	0.091383053
2.2827946946946943e-09	0.091007027
2.2928038038038034e-09	0.09063298
2.3028129129129126e-09	0.090260907
2.3128220220220217e-09	0.089890793
2.322831131131131e-09	0.089522627
2.33284024024024e-09	0.089156407
2.342849349349349e-09	0.088792107
2.352858458458458e-09	0.088429733
2.3628675675675673e-09	0.088069267
2.3728766766766764e-09	0.087710693
2.3828857857857856e-09	0.087354013
2.3928948948948943e-09	0.086999213
2.402904004004004e-09	0.086646281
2.412913113113113e-09	0.086295207
2.422922222222222e-09	0.085945983
2.4329313313313308e-09	0.085598599
2.44294044044044e-09	0.085253045
2.4529495495495494e-09	0.084909311
2.4629586586586586e-09	0.084567387
2.4729677677677673e-09	0.084227265
2.4829768768768764e-09	0.083888934
2.4929859859859855e-09	0.083552386
2.502995095095095e-09	0.08321761
2.5130042042042038e-09	0.082884598
2.523013313313313e-09	0.08255334
2.533022422422422e-09	0.082223827
2.543031531531531e-09	0.08189605
2.5530406406406403e-09	0.08157
2.5630497497497494e-09	0.081245667
2.5730588588588585e-09	0.080923043
