X	SP
-74.64179410334417	0.9903845903381004
-70.41900996330415	0.9795672931541696
-66.19620770097148	0.9711538225952431
-61.973405438638835	0.9639422911392891
-57.11718374307091	0.9519230548523855
-53.3166671436593	0.9399038314607173
-49.72728431456193	0.9266826689660762
-46.98246375016033	0.9122596060541686
-44.448786017219255	0.8942307516238132
-41.703965452817656	0.8737980705684536
-39.170287719876605	0.8557691903476274
-37.903448853406076	0.83653842260477
-36.003181492553956	0.8161057673398813
-33.89178942253393	0.7884615290380972
-32.202664893142355	0.763221117361317
-30.72468319521129	0.7391826705779806
-29.246701497280235	0.7091345798607217
-27.97986263080969	0.6838942197648832
-26.713023764339162	0.653846154838095
-25.65732772932916	0.6298076822642877
-24.17934603139809	0.6033653830654765
-23.33477470555598	0.5769230838666652
-21.645668298457018	0.5468749673589353
-20.16768660052597	0.5192307290571512
-19.111990565515946	0.4915865423363087
-17.84513357675278	0.46754806976250146
-16.578294710282258	0.43990383146071727
-15.311455843811707	0.4122595931589332
-13.833474145880658	0.3882211205851259
-12.144367738781703	0.3593748915994273
-10.244100377929584	0.3317307564595264
-8.554975848537993	0.3052883540988318
-6.6547266099785105	0.2788461580619039
-4.754441126833754	0.2560096245910696
-2.6430671791063958	0.23557686616429754
-0.10938944616532353	0.21394216863455273
2.213163577607858	0.19471155563452033
5.380251682637862	0.17307685810477544
8.758500741421031	0.15504808104583248
12.136731677911584	0.13100960847202514
16.148427353368987	0.1177884846630905
19.948925830487966	0.10336531858929941
24.17172809282063	0.09134613388333757
28.183387523692744	0.08052878511846506
32.6173144951933	0.06730755814764697
37.05125958898648	0.06009612985357632
41.27406185131913	0.05168255613276635
45.49686411365178	0.03966347458868776
50.77536241099446	0.032451943132733856
54.787021841866576	0.026442247617869476
58.798681272738705	0.016826941117853423
63.6549301517456	0.008413470558926711
