# ---------------- Conditional Probability -------------------
# INPUT x_a: 13 Å | x_b: 26 Å | x_0: 50 Å
# INPUT kbT: 0.59616108  |  Ks: 10
# INPUT Double-Well PMF fit-params => depth: -0.4942281975503514 | bias: 0.0056908293472983 | x_offset: -20.00496195481475 | x_scale: 0.1939353082825816 | phi_offset: 0.0529141095212163 | phi_scale: 0.4804066547625805
# OUTPUT Cond Prob Time Instants (sec): [ 0.000231, 0.000232, 0.000233, 0.000234, 0.000235, 0.00024 ]
# ---------------------------------------------------------
X	COND_PROB_0	COND_PROB_1	COND_PROB_2	COND_PROB_3	COND_PROB_4	COND_PROB_5
13.0	0.025116379328717624257	0.014024471285588585769	0.0042916493790030953702	0.00022229998384462480842	0.0	0.0033047356345647171764
13.131313131313131	0.019107975246173575266	0.009244559004934705927	0.0016478844044046426918	0.0	0.0016828318433656343765	0.0077644254132754423324
13.262626262626263	0.01298402090124566084	0.004828168978416285803	0.0	0.0013441445411616135662	0.0053184336274929671474	0.014663764251099395229
13.393939393939394	0.0072659024067362052535	0.0014536706721173057736	0.00018319710150305344268	0.005183068521096040452	0.0118721995244641549714	0.024978053021685100323
13.525252525252526	0.0026569102867643859418	0.0	0.0032410836755575330397	0.012644465284907609618	0.022494088830975201501	0.039836248559807583975
13.656565656565657	0.0	0.0014820796009949092903	0.010335897309265585172	0.024946993372072525884	0.03839984242856825652	0.060392219300572781425
13.787878787878787	0.00017996440158956471778	0.00691596807464379323	0.022574402529978246296	0.043199991526795253643	0.06065793338002603696	0.08760263370543513575
13.919191919191919	0.0039718838728695269806	0.01711823855628394342	0.04075721555715318064	0.06812177282109805218	0.08989444669145775709	0.12192568486047762042
14.05050505050505	0.011859239419503782746	0.032472408124157209568	0.06509452167523630256	0.09972639597923139333	0.12596928748404698406	0.16299677443345648793
14.181818181818182	0.023866189352146653104	0.05272271138195063576	0.094964972344088380735	0.13706640450190740214	0.16771620937221586038	0.2093767719448017184
14.313131313131313	0.039457757746698612796	0.076866814214192172464	0.1288076867005492637	0.17813297456855527282	0.21285320260233000623	0.25848199468582242077
14.444444444444445	0.05755049069922958421	0.103202607394949486414	0.16421499996684881777	0.21998845191794087615	0.2581410707858222037	0.30677432732065430622
14.575757575757576	0.07664558763522111926	0.12954136175264257649	0.19823751506859429755	0.25914113521297361297	0.29979834215642133332	0.35021667560361818787
