# ---------------- Conditional Probability -------------------
# INPUT x_a: 24 Å | x_b: 43 Å | x_0: 50 Å
# INPUT kbT: 0.59616108  |  Ks: 10
# INPUT Double-Well PMF fit-params => depth: -0.4998241048936946 | bias: -4.516879560038931e-05 | x_offset: -32.48348797109661 | x_scale: 0.1847490231947087 | phi_offset: 0.2341367476211293 | phi_scale: 0.387206324456592
# OUTPUT Cond Prob Time Instants (sec): [ 0.00228, 0.0023, 0.00234, 0.005 ]
# ---------------------------------------------------------
X	COND_PROB_0	COND_PROB_1	COND_PROB_2	COND_PROB_3
24.0	-0.044998715961915208788	-0.03083391589899790924	-0.013580449311510893523	0.0036227469822309711884
24.19191919191919	-0.054941734179935831357	-0.0367909859064754947	-0.014682426132738857236	0.007361717380736550138
24.383838383838384	-0.060609498368846618152	-0.038935356420606952014	-0.012535119053657034496	0.013788197673568175008
24.575757575757574	-0.058510775480683938243	-0.034588743484108806933	-0.0054504585860232623526	0.023602928002865738607
24.767676767676768	-0.0467140030188829603	-0.022381748750169916663	0.007256208309494778823	0.036807811197964910237
24.95959595959596	-0.026110939655866937809	-0.0032219149752107748616	0.024658113037449517788	0.052456908841456974508
25.151515151515152	-5.7218787985501123012e-05	0.020041862488891290782	0.044523593661195524378	0.068933994019417788106
25.343434343434343	0.02730091080498297929	0.04398792026110634451	0.0643135696749681317	0.08457999757752291902
25.535353535353536	0.052643255845910982583	0.06591861926353596981	0.08208870554398906327	0.09821167810482639323
25.727272727272727	0.074135168036986325765	0.084372222847001533474	0.0968414904917503479	0.10927442724936352643
25.91919191919192	0.09123753689451098207	0.098949009503066102814	0.10834198606475750259	0.11770759492683310508
26.11111111111111	0.104193753552557613654	0.10988231442576613535	0.116811278796660003993	0.123720054698615860196
26.303030303030305	0.113570018157854272206	0.11765912752922909954	0.12263987639954285747	0.12760611318861706431
26.494949494949495	0.11996820098702049997	0.12278514159985423224	0.12621632245144277395	0.12963750609647415917
26.686868686868685	0.123889341304898966495	0.12567489181174518443	0.12784978562410422063	0.13001834259103817002
26.87878787878788	0.12569179335585312196	0.12662052824142825332	0.12775177585845984303	0.12887972743352106553
27.07070707070707	0.12559936967579793615	0.12580238797648530787	0.12604967487442946092	0.12629624126876142968
27.262626262626263	0.12373356271051284118	0.12331989248845708615	0.12281602054372260015	0.122313616697618804005
27.454545454545453	0.120157011021219292405	0.11923180964695839315	0.118104866031333518095	0.11698120591739245886
27.646464646464647	0.114921357351115114586	0.11359949802494497415	0.11198940429851524149	0.110384001796551874466
27.838383838383837	0.10811354800974512462	0.106527225197874242205	0.10459500112764293688	0.10266840685192854497
28.03030303030303	0.099893224967710173725	0.09819252698770607249	0.09612098798658556307	0.09405548469275685013
28.22222222222222	0.09051303680654049979	0.08885938517815258196	0.08684515109147262328	0.08483678574651453626
28.41414141414141	0.08031574638246738688	0.078869601531732574253	0.077108121542463971374	0.07535177386188462369
28.606060606060606	0.06970755573999890183	0.06861330017139923327	0.06728043971398747975	0.065951462724653033167
28.7979797979798	0.05911429171729495544	0.05848599847778949266	0.057720704483747836944	0.05695764027661229644
28.98989898989899	0.04893254526032137027	0.04884395532161312653	0.04873604814744187243	0.048628455375325144197
29.18181818181818	0.039488674297491977666	0.0399692652158180985	0.040554650065216508107	0.041138329317181265606
29.373737373737374	0.031014515418364651886	0.032051693047016930757	0.033315029591250198175	0.034574685234671123815
29.565656565656564	0.02364212019201251902	0.025188065143193884358	0.02707110686936199347	0.028948662100382657312
29.757575757575758	0.017414073858738525294	0.019395074667108994686	0.021808037159003519987	0.024213969160379024038
29.949494949494948	0.012302999995655851351	0.014629202928195789902	0.017462639644140946023	0.020287820761404144529
30.141414141414142	0.008233831083170653097	0.010807925777137758344	0.013943307610846622881	0.017069554088191910257
30.333333333333332	0.005104200304119104684	0.007828278140310045443	0.011146347277867256744	0.014454748775048202842
30.525252525252526	0.0028005481836413946505	0.0055809664036486699728	0.008967661072479430978	0.012344488151225383623
30.717171717171716	0.0012093621687979171218	0.0039598239016709958918	0.007310030003945747419	0.010650474830478364769
30.909090909090907	0.00022407504473262142725	0.0028673066949144270664	0.0060869009536990036648	0.009297114491901509927
31.1010101010101	-0.00025138409821109717135	0.00221705048429850775	0.0052237327815109362554	0.008221654705756413705
31.292929292929294	-0.00030134523961370587525	0.0019344784791730810718	0.004657828590452658449	0.0073732438551684617462
31.484848484848484	1.4201409514570953644e-06	0.0019562590192101458307	0.0043373549132675808187	0.006711513164421621253
