# ---------------- Conditional Probability -------------------
# INPUT x_a: 12 Å | x_b: 26 Å | x_0: 10 Å
# INPUT kbT: 0.59616108  |  Ks: 10
# INPUT Double-Well PMF fit-params => depth: -0.4942281975503514 | bias: 0.0056908293472983 | x_offset: -20.00496195481475 | x_scale: 0.1939353082825816 | phi_offset: 0.0529141095212163 | phi_scale: 0.4804066547625805
# OUTPUT Cond Prob Time Instants (sec): [ 1.05e-05, 1.1e-05, 1.2e-05, 1.3e-05, 2e-05 ]
# ---------------------------------------------------------
X	COND_PROB_0	COND_PROB_1	COND_PROB_2	COND_PROB_3	COND_PROB_4
12.0	0.0427684721683765143	0.02738454645634534444	0.011139928493228394941	0.0042701643363386186374	0.0
12.141414141414142	0.045077575325367028056	0.029143535902640192115	0.0121712288715791049965	0.004889559826119451574	9.783994952037551194e-05
12.282828282828282	0.04815754907487167303	0.031501682794666753364	0.013574544966040135564	0.0057523985510557991972	0.00027632416863935337687
12.424242424242424	0.052234547593089964385	0.034644634840538193356	0.01548194262803872605	0.00696041661092707321	0.00059878510997019951756
12.565656565656566	0.057590643347403157145	0.038811232541152283506	0.018075075219188332771	0.008662896862865904507	0.0011735179744620529657
12.707070707070708	0.064574349668363291934	0.044308065120591107955	0.021605074858306508365	0.011079580198625057856	0.0021805159624817961123
12.848484848484848	0.07361137260661216714	0.051526893427294952354	0.02641879976357559636	0.014531907919014262524	0.003909037377162059225
12.98989898989899	0.08521336232140296979	0.06096316216191164589	0.032990258094726755245	0.019481754133128809556	0.0068055921464229319467
13.131313131313131	0.09997965699999766409	0.07323040681576073806	0.04195176550208326758	0.026572064909752997432	0.011526586615431641419
13.272727272727273	0.11858248806574743178	0.08905962117914145173	0.05411204649089152046	0.036655563850573159183	0.018980456209529695352
13.414141414141413	0.14172034959018423356	0.10926513811332784109	0.07043866518952593523	0.050786550903946168264	0.030331326103008878218
13.555555555555555	0.17001982625163954598	0.13465235863259550285	0.09197356042309366577	0.070140855982402540894	0.046924559613743846
13.696969696969697	0.20386870686851269474	0.16584435844163816803	0.11965104481268984262	0.095828965863028706416	0.070093715906786597165
13.838383838383837	0.24318004012674738853	0.20302269669359657559	0.15400786249922941765	0.12858867543664871693	0.10083116109898542287
13.97979797979798	0.28712183648652643022	0.24561734040929763216	0.19482049599979166268	0.16839261064637243175	0.13935787868727068539
14.121212121212121	0.33389274726286171028	0.29203293121227183153	0.24076607041304510043	0.21407213454827091747	0.184700528417395991
14.262626262626263	0.38065680365698978673	0.33953722349731878258	0.28924954491996464283	0.26310987043104088574	0.2344400721673433698
14.404040404040405	0.42373958140701541633	0.3844282172571395223	0.33653244238483121724	0.3117466934562848665	0.28479124089886630596
