X0	PMF_IM	SP_INTEGRAND	SP	PMF_RE
19.528229822982297	-0.870925915464932	0.23202961594995503	0.6431761517644780657	-0.7243415301885771349
19.52915291529153	-0.8707631552194247	0.23209297190223815	0.642902226279451372	-0.72417876998952035206
19.530076007600762	-0.8706007263173747	0.23215621612259385	0.6426282260749117681	-0.7240163411333876026
19.53099909990999	-0.8704386287624837	0.23221934850882253	0.6423541512828090383	-0.72385424362461766413
19.53192219221922	-0.8702768625584434	0.2322823689588861	0.642080002035211872	-0.72369247746641238243
19.532845284528452	-0.8701154277089307	0.23234527737090982	0.6418057784643084185	-0.7235310426624980948
19.533768376837685	-0.8699543242176122	0.23240807364318133	0.64153148070241006184	-0.7233699392171992819
19.534691469146914	-0.8697935520881436	0.2324707576741506	0.64125710888194775716	-0.7232091671332793217
19.535614561456146	-0.8696331113241639	0.23253332936243287	0.64098266313546858886	-0.7230487264144436376
19.536537653765375	-0.869473001929304	0.2325957886068053	0.64070814359564409735	-0.72288861706526446823
19.537460746074608	-0.8693132239071807	0.23265813530620993	0.6404335503952610642	-0.7227288390883761157
19.538383838383837	-0.8691537772613988	0.23272036935975268	0.6401588836672288396	-0.7225693924877208131
19.53930693069307	-0.8689946619955498	0.23278249066670456	0.63988414354457257005	-0.72241027726707403745
19.5402300230023	-0.8688358781132152	0.2328444991265004	0.6396093301604386383	-0.72225149342970976706
19.54115311531153	-0.8686774256179638	0.23290639463874033	0.6393344436480924431	-0.7220930409795712287
19.542076207620763	-0.8685193045133498	0.23296817710319065	0.63905948414091451326	-0.72193491991973275754
19.542999299929992	-0.8683615148029188	0.23302984641978197	0.6387844517724076132	-0.72177713025389980434
19.543922392239224	-0.8682040564901994	0.2330914024886125	0.63850934667618852725	-0.72161967198577481715
19.544845484548453	-0.8680469295787142	0.2331528452099442	0.6382341689859961642	-0.72146254511904533546
19.545768576857686	-0.8678901340719668	0.23321417448420825	0.6379589188356827867	-0.7213057496566400903
19.54669166916692	-0.8677336699734544	0.233275390212	0.63768359635922089446	-0.72114928560242574636
19.547614761476147	-0.8675775372866599	0.23333649229408288	0.63740820169070089296	-0.72099315296014886975
19.548537853785376	-0.8674217360150525	0.23339748063138782	0.63713273496432765164	-0.72083735173257881514
19.54946094609461	-0.86726626616209	0.23345835512501326	0.63685719631442272437	-0.72068188192359811
19.55038403840384	-0.8671111277312198	0.23351911567622452	0.636581585875427014	-0.72052674353661616796
19.55130713071307	-0.8669563207258748	0.23357976218645593	0.6363059037818972197	-0.7203719365753293159
19.552230223022303	-0.8668018451494769	0.23364029455730978	0.63603015016850394936	-0.72021746104292268877
19.55315331533153	-0.8666477010054365	0.23370071269055645	0.63575432517003716004	-0.7200633169423803078
19.554076407640764	-0.86649388829715	0.23376101648813613	0.6354784289213988302	-0.71990950427765262203
19.554999499949993	-0.8663404070280034	0.23382120585215735	0.63520246155761106444	-0.7197560230520814356
19.555922592259225	-0.8661872572013686	0.23388128068489877	0.6349264232138067676	-0.71960287326886345264
19.556845684568458	-0.8660344388206065	0.23394124088880833	0.6346503140252376385	-0.71945005493140496837
19.557768776877687	-0.8658819518890681	0.23400108636650294	0.6343741341272700618	-0.7192975680429841222
19.55869186918692	-0.8657297964100876	0.23406081702077158	0.6340978836553823328	-0.7191454126072048947
