X	SP_INTEGRAND	SP	PMF_RE
-37.178658658658655	0.006878262573444256	0.8034268615990313167	-2.9285315696879987964
-37.009159159159154	0.006909436462313814	0.80217729458406450416	-2.9258357753438893536
-36.83965965965966	0.0069406220575249115	0.8009220759840020021	-2.9231511111046119668
-36.67016016016016	0.0069718174541442005	0.7996612038496151431	-2.9204776445801168482
-36.50066066066066	0.007003020733615256	0.7983946765781949617	-2.917815442857306624
-36.33116116116116	0.007034229963920735	0.7971224929160066752	-2.9151645725021155288
-36.16166166166166	0.007065443199748227	0.795844651960714744	-2.9125250995613932937
-35.99216216216216	0.00709665848265981	0.79456115316377651236	-2.9098970895652062744
-35.82266266266266	0.0071278738412650765	0.79327199633280665036	-2.9072806075291547385
-35.653163163163164	0.0071590872913979255	0.7919771816339084003	-2.9046757179561552833
-35.48366366366366	0.007190296836296868	0.7906767095939725154	-2.9020824848389312647
-35.31416416416416	0.007221500466788933	0.7893705811029446684	-2.8995009716619424382
-35.14466466466466	0.0072526961614771705	0.78805879741605699973	-2.8969312414036001665
-34.975165165165166	0.007283881886931635	0.7867413601560274694	-2.894373356538504285
-34.805665665665664	0.007315055597884072	0.78541827131522268246	-2.891827379039408291
-34.63616616616616	0.007346215237425844	0.78408953325778596444	-2.8892933703794110999
-34.46666666666666	0.007377358737209645	0.78275514872172879954	-2.886771391534193635
-34.29716716716717	0.007408484017654519	0.78141512082098585346	-2.8842615029841692322
-34.127667667667666	0.007439588988154343	0.78006945304743224856	-2.881763764716482889
-33.958168168168164	0.0074706715472898306	0.77871814927286242547	-2.8792782362273129017
-33.78866866866867	0.007501729583043832	0.77736121375093159003	-2.8768049765237752088
-33.61916916916917	0.007532760973020097	0.7759986511190548608	-2.8743440441262390155
-33.44966966966967	0.007563763584665379	0.77463046640027066747	-2.8718954970706189378
-33.280170170170166	0.0075947352754948145	0.7732566650050602952	-2.869459392910029828
-33.11067067067067	0.007625673893320672	0.77187725273312701724	-2.8670357887172647205
-32.94117117117117	0.007656577276484402	0.7704922357751344819	-2.8646247410867890714
-32.77167167167167	0.007687443254091745	0.7691016207144012462	-2.8622263061370003378
-32.60217217217217	0.007718269646251298	0.7677054145285547859	-2.8598405395121957125
-32.43267267267267	0.007749054264316085	0.76630362459113854356	-2.8574674963844833248
-32.26317317317317	0.007779794911128355	0.7648962586731775648	-2.8551072314564148206
-32.09367367367367	0.007810489381267432	0.763483324944699393	-2.8527597989624983014
-31.92417417417417	0.0078411354613007	0.7620648319762073353	-2.8504252526716407474
-31.754674674674675	0.007871730930037618	0.76064078874011165077	-2.8481036458892556998
-31.585175175175173	0.00790227355878667	0.7592112046121110014	-2.8457950314589775614
-31.415675675675672	0.007932761111615361	0.75777608937252882715	-2.8434994617651140516
-31.246176176176178	0.007963191345613147	0.7563354532076026482	-2.841216988734569833
-31.076676676676676	0.007993562011157097	0.7548893067107238508	-2.838947663838872953
-30.907177177177175	0.008023870852180627	0.75343766088363095523	-2.8366915380962876084
-30.737677677677674	0.008054115606444878	0.7519805271375524791	-2.8344486620736247962
-30.56817817817818	0.008084294005812804	0.7505179172943002852	-2.8322190858886207817
-30.398678678678678	0.00811440377652619	0.7490498435873148564	-2.8300028592118774012
-30.229179179179177	0.008144442639485168	0.74757631866265794596	-2.827800031268652635
-30.059679679679675	0.008174408310530302	0.7460973555799556012	-2.8256106508410972098
-29.89018018018018	0.00820429850072747	0.7446129678132892282	-2.8234347662701359876
-29.72068068068068	0.008234110916655019	0.7431231692520349208	-2.821272425457599615
-29.551181181181178	0.008263843260693649	0.74162797420165116336	-2.8191236758680578132
-29.381681681681677	0.008293493231318432	0.74012739738441257753	-2.8169885645307895664
-29.212182182182183	0.008323058523393519	0.738621453940091266	-2.8148671380419195952
-29.04268268268268	0.008352536828468928	0.73711015942658475453	-2.8127594425663416191
-28.87318318318318	0.008381925835079726	0.7355935298204896444	-2.8106655238393804665
-28.70368368368368	0.008411223229047405	0.7340715815176198644	-2.8085854271690108273
-28.534184184184184	0.008440426693783384	0.7325443313334720763	-2.8065191974378716922
-28.364684684684683	0.008469533910594716	0.73101179650363445894	-2.8044668791049473429
-28.19518518518518	0.008498542558991712	0.7294739946841402034	-2.8024285162075066838
-28.025685685685687	0.008527450316997654	0.72793094395176516365	-2.8004041523631144877
-27.856186186186186	0.008556254861460487	0.726382662804268997	-2.79839383077139256
-27.686686686686684	0.00858495386836619	0.7248291701605796833	-2.7963975942161004705
-27.517187187187183	0.008613545013154278	0.72327048536092219955	-2.7944154850668173678
-27.34768768768769	0.008642025971034724	0.72170662816688735397	-2.7924475452807415111
-27.178188188188187	0.008670394417306876	0.7201376187614453306	-2.790493816404788795
-27.008688688688686	0.00869864802767977	0.71856347774890039215	-2.7885543395772657874
-26.839189189189185	0.008726784478594242	0.7169842261547876294	-2.786629155529675315
-26.66968968968969	0.008754801447546317	0.7153998854257104245	-2.7847183045885241085
-26.50019019019018	0.008782696613412305	0.71381047742911996057	-2.7828218266772619524
-26.330690690690687	0.008810467656774984	0.7122160244530360007	-2.780939761317837099
-26.161191191191193	0.008838112260251378	0.7106165492057067157	-2.7790721476327985037
-25.991691691691685	0.008865628108821664	0.7090120748152116681	-2.7772190243467454892
-25.82219219219219	0.008893012890159162	0.7074026248290021801	-2.7753804297881665697
-25.652692692692696	0.008920264294961662	0.7057882232133840805	-2.7735564018913376973
-25.483193193193188	0.008947380017283658	0.7041688943529385014	-2.7717469781978734665
