X	SP_INTEGRAND	SP	PMF_RE
-85.35114311431143	0.0015016181497799495281	0.9959559039700900871	-4.309091049639244992
-85.33429942994299	0.001499503599806229212	0.99594368534301623504	-4.309931143551852595
-85.31745574557456	0.0014973896160650559533	0.99593148393179727784	-4.310772197795663586
-85.30061206120612	0.0014952761988298271901	0.9959192997318214162	-4.3116142141159547485
-85.28376837683768	0.0014931633512071112846	0.99590713273846312047	-4.3124571942486799266
-85.26692469246925	0.0014910510733725574162	0.9958949829470834883	-4.3133011401336604725
-85.2500810081008	0.0014889393665560605778	0.9958828503530378943	-4.314146053600425759
-85.23323732373237	0.0014868282339739700441	0.99587073495166361094	-4.3149919363016342416
-85.21639363936393	0.0014847176756385307462	0.99585863673828476625	-4.3158387902355526368
-85.1995499549955	0.0014826076925912059051	0.99584655570822120795	-4.3166866172590061105
-85.18270627062707	0.0014804982884817825466	0.99583449185677365396	-4.3175354190179854627
-85.16586258625863	0.0014783894628917551053	0.9958224451792296965	-4.3183851974967046856
-85.14901890189019	0.001476281217599342126	0.99581041567087138247	-4.3192359545690427966
-85.13217521752175	0.0014741735552286306566	0.99579840332696283457	-4.320087691958478259
-85.11533153315331	0.0014720664760604213154	0.99578640814275634966	-4.3209404116246668635
-85.09848784878488	0.0014699599819369634539	0.99577443011349559	-4.321794115428865861
-85.08164416441645	0.0014678540749437832757	0.99576246923440819674	-4.3226488051291882615
-85.064800480048	0.0014657487562168794043	0.99575052550070872545	-4.3235044826474565145
-85.04795679567957	0.0014636440269666929585	0.9957385989076021682	-4.3243611499271558795
-85.03111311131113	0.0014615398890651936405	0.9957266894502809677	-4.3252188088219395675
-85.01426942694269	0.0014594363439280745367	0.9957147971239241808	-4.3260774611888061754
-84.99742574257425	0.0014573333932469661934	0.99570292192369821413	-4.326937108916088023
-84.98058205820583	0.0014552310383714885377	0.995691063844757102	-4.3277977538942930006
-84.96373837383739	0.0014531292810850474861	0.99567922288224209286	-4.3286593980008245
-84.94689468946895	0.001451028122856417253	0.9956673990312812247	-4.3295220431511553492
-84.93005100510051	0.0014489275650134643947	0.99565559228699113917	-4.3303856913365757764
-84.91320732073207	0.001446827608815483461	0.9956438026444779448	-4.3312503444082110287
-84.89636363636363	0.0014447282572223889649	0.99563203009883057226	-4.3321160042434744973
-84.8795199519952	0.0014426295096651674472	0.99562027464512822784	-4.3329826728940609667
-84.86267626762677	0.0014405313692905611516	0.99560853627843959307	-4.3338503522407087532
-84.84583258325833	0.0014384338370861535122	0.9955968149938165474	-4.3347190441546530394
-84.82898889888989	0.0014363369147673036217	0.99558511078629995534	-4.3355887505531994753
-84.81214521452145	0.0014342406043773647759	0.9955734236509153784	-4.3364594734293294034
-84.79530153015301	0.001432144905904437481	0.9955617535826801075	-4.3373312148240093502
-84.77845784578457	0.0014300498227211375748	0.9955501005765977507	-4.338203976598930035
-84.76161416141615	0.0014279553552744043117	0.99553846462765637523	-4.3390777606932331325
-84.74477047704771	0.001425861505779460651	0.9955268457308331803	-4.3399525690837012976
-84.72792679267927	0.0014237682755638877347	0.99551524388109097045	-4.340828403819655295
-84.71108310831083	0.0014216756653068639932	0.9955036590733843702	-4.341705266921197553
-84.69423942394239	0.001419583678228121989	0.9954920913026521303	-4.3425831601940043064
-84.67739573957395	0.0014174923152181505918	0.99548054056381626734	-4.343462085666443332
-84.66055205520551	0.0014154015772186815523	0.99546900685179133815	-4.3443420454157842584
-84.64370837083709	0.0014133114669998485703	0.995457490161476797	-4.345223041400715045
-84.62686468646865	0.0014112219848025120773	0.99544599048775981047	-4.346105075640357198
-84.61002100210021	0.0014091331336086103664	0.99543450782551445275	-4.3469881500742015203
-84.59317731773177	0.0014070449142387073793	0.9954230421695993071	-4.347872266739303587
-84.57633363336333	0.0014049573282439219473	0.9954115935148633009	-4.348757427715316504
-84.5594899489949	0.0014028703775348669665	0.9954001618561412677	-4.349643634937008564
-84.54264626462646	0.0014007840640016557244	0.99538874718825256664	-4.3505308904876077696
-84.52580258025803	0.001398698387880079759	0.9953773495060079114	-4.3514191965182723683
-84.50895889588959	0.0013966133521509213992	0.9953659688042048911	-4.352308554964739249
-84.49211521152115	0.0013945289580704852509	0.9953546050776238726	-4.3531989678074680533
-84.47527152715271	0.0013924452072133638798	0.995343258321033688	-4.3540904370988860682
-84.45842784278427	0.0013903621016405060019	0.99533192852918836755	-4.3549829649538751653
-84.44158415841584	0.001388279641599546683	0.99532061569683254274	-4.3558765535408182188
-84.42474047404741	0.0013861978300484067123	0.9953093198186978033	-4.356771204826373952
-84.40789678967897	0.001384116668270817441	0.9952980408894984413	-4.3576669208517695244
-84.39105310531053	0.0013820361575773043043	0.99528677890393821515	-4.3585637036855560114
-84.3742094209421	0.0013799563006830811565	0.9952755338567044836	-4.359461555400228216
-84.35736573657366	0.0013778770975052902701	0.9952643057424738883	-4.3603604781856780386
-84.34052205220522	0.0013757985511273583351	0.9952530945559108542	-4.361260474123796168
